TVVC,TVVMAX,TVKM,TVKA,omega[1],omega[2],omega[3],omega[4],sigma,.chain,.iteration,.draw
73.7502,0.967896,0.223921,0.933511,0.269867,0.291922,0.0292399,0.38625,0.195432,1,1,1
73.7508,0.958483,0.222683,0.954308,0.277777,0.292102,0.0364156,0.37184,0.196215,1,2,2
72.6827,0.986025,0.234072,1.19427,0.302706,0.392057,0.179953,0.374255,0.205066,1,3,3
72.2024,0.954504,0.228384,0.917951,0.272853,0.357662,0.0918605,0.432772,0.196872,1,4,4
73.3876,0.972534,0.243162,1.02859,0.275312,0.348926,0.0121396,0.374743,0.202046,1,5,5
72.5728,0.937227,0.212439,1.09207,0.297455,0.367477,0.142222,0.426706,0.201366,1,6,6
72.7855,0.947924,0.237343,1.01028,0.266006,0.372815,0.157928,0.429518,0.201154,1,7,7
74.6923,0.950661,0.228923,1.07975,0.31096,0.357392,0.0964654,0.346806,0.199084,1,8,8
70.4081,1.00703,0.218247,0.990337,0.255882,0.33201,0.00214847,0.404356,0.195179,1,9,9
68.8813,1.00239,0.236769,0.856172,0.268837,0.317475,0.0397187,0.377768,0.203617,1,10,10
70.555,0.994506,0.218246,1.06883,0.264696,0.396684,0.0124658,0.45238,0.196958,1,11,11
73.7568,0.952721,0.22807,0.988124,0.268077,0.373372,0.0550087,0.38191,0.202636,1,12,12
73.288,0.955114,0.241007,1.10253,0.293072,0.410213,0.00776398,0.339397,0.199098,1,13,13
72.8268,0.938901,0.227842,1.09359,0.291403,0.399859,0.00412928,0.368784,0.202518,1,14,14
72.8414,0.966375,0.253838,1.09259,0.288356,0.383538,0.0801518,0.379874,0.20049,1,15,15
73.4232,0.964189,0.248276,1.09731,0.294918,0.366795,0.0784338,0.333422,0.197134,1,16,16
71.6072,0.9375,0.219294,0.945121,0.284915,0.3339,0.0131633,0.365453,0.2004,1,17,17
70.6278,0.965829,0.233993,1.01278,0.291437,0.374125,0.00366169,0.366068,0.200593,1,18,18
70.699,0.969969,0.236255,1.0836,0.253119,0.319053,0.00151931,0.337136,0.20198,1,19,19
71.0376,0.979257,0.237595,1.13018,0.269944,0.330381,0.0101346,0.331958,0.198926,1,20,20
71.6771,0.944325,0.219076,1.01936,0.281142,0.365971,0.0619108,0.279767,0.198781,1,21,21
73.1483,0.954631,0.219683,1.038,0.293141,0.324119,0.0108187,0.233411,0.203578,1,22,22
73.6976,0.982955,0.242174,1.08638,0.31036,0.338261,0.117663,0.381895,0.202169,1,23,23
71.541,0.999825,0.236484,1.10206,0.300617,0.316273,0.00278994,0.489558,0.200409,1,24,24
69.9958,0.984238,0.232203,0.980304,0.301478,0.332015,4.07655e-4,0.427082,0.197983,1,25,25
68.0616,0.965044,0.227244,0.995963,0.310669,0.354713,0.0430079,0.416847,0.201553,1,26,26
67.6754,0.930862,0.222247,0.942066,0.330345,0.358934,0.0589228,0.508593,0.197677,1,27,27
70.2279,0.919264,0.21916,1.06106,0.329118,0.352617,0.0557197,0.273642,0.203216,1,28,28
70.9434,0.933732,0.218251,0.966509,0.282885,0.348688,0.00595196,0.391328,0.199349,1,29,29
74.9174,0.912036,0.216301,1.15857,0.298499,0.355206,0.134994,0.540906,0.200782,1,30,30
71.8423,1.02911,0.270982,0.907099,0.265905,0.345156,0.144063,0.284658,0.200487,1,31,31
74.8651,0.974211,0.206425,1.09218,0.299347,0.343143,0.00496132,0.293688,0.19851,1,32,32
73.5426,1.03973,0.24328,1.07587,0.271228,0.335401,0.0348326,0.408641,0.201119,1,33,33
73.6949,0.973156,0.231511,1.09067,0.266622,0.388103,0.040573,0.322276,0.199981,1,34,34
72.015,0.988618,0.234462,1.04476,0.277339,0.344687,0.0951391,0.393139,0.200072,1,35,35
73.5249,0.980748,0.231595,1.07913,0.29397,0.328531,0.146413,0.376089,0.198526,1,36,36
73.0121,0.979116,0.227242,1.0827,0.289681,0.307825,0.141958,0.423977,0.198074,1,37,37
75.5926,0.938833,0.229869,1.0804,0.31546,0.406574,0.204725,0.382954,0.197174,1,38,38
77.0337,0.941321,0.218316,1.21956,0.293136,0.410433,0.203909,0.350113,0.201838,1,39,39
70.6955,0.977561,0.244414,0.85103,0.328479,0.311213,0.102892,0.360138,0.196847,1,40,40
69.3183,0.962787,0.230689,1.12803,0.302242,0.397021,0.221877,0.412444,0.203818,1,41,41
71.6932,0.976846,0.241659,1.08454,0.312918,0.313544,0.102165,0.410583,0.198843,1,42,42
71.4008,0.970998,0.222717,1.12434,0.276479,0.330852,0.179614,0.370881,0.201692,1,43,43
69.1821,0.974882,0.235401,1.08169,0.289348,0.326205,0.119118,0.511938,0.200963,1,44,44
70.0282,0.96492,0.212096,0.918183,0.267199,0.321213,0.157217,0.282496,0.198956,1,45,45
70.4206,0.957158,0.211432,0.982855,0.280248,0.32044,0.166579,0.240845,0.19998,1,46,46
68.529,0.994125,0.235532,1.01193,0.281489,0.347707,0.136472,0.252402,0.197687,1,47,47
72.2897,0.988054,0.239369,0.981692,0.291943,0.28955,0.178854,0.37093,0.200568,1,48,48
71.7495,0.957355,0.236199,0.960153,0.27542,0.300931,0.168695,0.355924,0.1986,1,49,49
72.775,0.91837,0.190179,0.990216,0.276852,0.370479,0.203926,0.250488,0.20175,1,50,50
72.6773,0.923111,0.191752,0.992481,0.281327,0.367422,0.210947,0.263537,0.201551,1,51,51
73.0402,0.969675,0.218617,1.03598,0.282055,0.333847,0.175539,0.299768,0.197147,1,52,52
71.1037,0.972689,0.223591,1.06879,0.294591,0.325632,0.061394,0.36823,0.200188,1,53,53
70.0408,1.03169,0.233609,1.03153,0.283034,0.339632,0.0282318,0.305105,0.202143,1,54,54
71.2294,1.0014,0.223861,0.98813,0.280773,0.334277,0.00573455,0.438247,0.200824,1,55,55
67.513,1.10056,0.242524,0.985796,0.278598,0.368292,0.0533549,0.426787,0.200568,1,56,56
68.466,1.07769,0.22623,1.02022,0.281578,0.368297,0.058168,0.454366,0.199284,1,57,57
68.5311,1.0921400000000001,0.226778,1.03947,0.2917,0.358831,0.0768149,0.397311,0.200275,1,58,58
68.1733,1.0465,0.221474,0.974092,0.279984,0.367087,0.0881902,0.356586,0.199337,1,59,59
71.3639,0.991841,0.209226,1.146,0.269531,0.315847,0.0440666,0.340493,0.19779,1,60,60
70.9777,0.99536500000000006,0.228497,1.09635,0.287507,0.374091,0.127806,0.453202,0.20101,1,61,61
