TVVC,TVVMAX,TVKM,TVKA,omega[1],omega[2],omega[3],omega[4],sigma,.chain,.iteration,.draw
69.3818,1.04012,0.320527,0.990934,0.319397,0.166332,0.566553,0.315712,0.200314,1,1,1
66.1554,1.05503,0.283738,0.986547,0.329972,0.23576,0.536024,0.297109,0.198249,1,2,2
64.4172,0.992046,0.28451,1.01,0.362057,0.350954,0.585151,0.284559,0.200009,1,3,3
72.5959,0.972274,0.237124,1.02527,0.325741,0.215596,0.483316,0.257372,0.199565,1,4,4
68.708,0.965579,0.282007,1.00744,0.340125,0.231323,0.483219,0.269804,0.204814,1,5,5
67.9759,1.00913,0.280058,0.97203,0.315637,0.231688,0.520848,0.291892,0.206544,1,6,6
66.9226,0.99718,0.274467,0.954529,0.320719,0.265863,0.491057,0.242642,0.207313,1,7,7
66.9168,1.00428,0.263334,0.986415,0.29945,0.299091,0.460387,0.266245,0.206205,1,8,8
66.8832,1.00107,0.283691,0.965975,0.315777,0.261522,0.500803,0.301911,0.199742,1,9,9
64.7866,1.03291,0.303421,1.01291,0.335823,0.33762,0.554153,0.202022,0.203211,1,10,10
65.3674,1.01145,0.296479,1.05951,0.306764,0.250752,0.447889,0.230768,0.206049,1,11,11
65.9239,1.03274,0.293035,0.988982,0.311131,0.229672,0.589409,0.247307,0.201585,1,12,12
64.6226,1.01874,0.27841,0.993365,0.315978,0.239441,0.553241,0.252188,0.201974,1,13,13
65.4316,0.972017,0.246919,1.03508,0.294732,0.32562,0.54456,0.278578,0.202316,1,14,14
63.2018,1.09601,0.359154,1.04213,0.331602,0.204673,0.530952,0.324072,0.198132,1,15,15
65.5756,1.07447,0.33911,1.02209,0.332059,0.302031,0.539502,0.324769,0.200271,1,16,16
64.566,1.13741,0.364538,1.00673,0.32578,0.21636,0.553989,0.328006,0.209649,1,17,17
70.7164,1.03031,0.301575,0.984952,0.355364,0.152705,0.472753,0.268967,0.196922,1,18,18
69.0527,1.09939,0.330949,1.00404,0.371147,0.274097,0.624414,0.230806,0.203907,1,19,19
70.7694,1.06036,0.320712,1.00266,0.314969,0.182884,0.597262,0.26495,0.202323,1,20,20
70.2814,1.14063,0.355928,1.03483,0.334712,0.232055,0.603314,0.263042,0.202812,1,21,21
67.609,1.216,0.395063,0.940011,0.338706,0.269464,0.551593,0.221585,0.206,1,22,22
67.7765,1.04642,0.316137,1.01104,0.319839,0.129047,0.642204,0.31322,0.200196,1,23,23
66.4302,1.14221,0.38596,0.968333,0.305073,0.145234,0.477696,0.300264,0.202988,1,24,24
65.2563,1.06918,0.34865,0.940534,0.297689,0.149208,0.542156,0.29486,0.205209,1,25,25
69.1057,1.02204,0.276728,1.03775,0.312565,0.144105,0.570515,0.238328,0.203209,1,26,26
69.41,1.09412,0.342094,0.932564,0.325693,0.257355,0.482355,0.266481,0.201834,1,27,27
69.3209,0.976796,0.265484,0.974837,0.325472,0.290167,0.585474,0.263069,0.200171,1,28,28
69.0342,1.02857,0.288772,0.998558,0.337797,0.2485,0.512184,0.263802,0.203276,1,29,29
69.539,0.9958,0.285483,0.970685,0.308262,0.269453,0.623673,0.246688,0.199292,1,30,30
