TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma,.chain,.iteration,.draw
4.08111,68.6059,4.00947,55.9444,0.272042,0.243144,0.36136,0.36023,0.203057,1,1,1
4.03984,68.5783,3.48645,52.0816,0.283479,0.275326,0.322925,0.344859,0.20017,1,2,2
4.07552,69.3288,4.24267,53.0473,0.308165,0.258978,0.365548,0.31436,0.20131,1,3,3
4.04536,69.7707,4.32591,53.6623,0.329069,0.248243,0.348077,0.373731,0.198587,1,4,4
4.17353,71.1022,3.76388,54.4504,0.278881,0.272052,0.326244,0.290912,0.199117,1,5,5
4.28395,68.3572,3.83267,48.0002,0.287362,0.285583,0.331397,0.294485,0.200939,1,6,6
4.26074,67.5301,3.76719,51.1989,0.28282,0.277146,0.297617,0.315357,0.202363,1,7,7
4.25889,68.6024,3.69112,51.706,0.292076,0.299939,0.312819,0.260658,0.198017,1,8,8
4.32255,67.0334,3.99735,54.9471,0.268773,0.292454,0.327204,0.334325,0.198087,1,9,9
4.2270200000000004,69.5475,3.68104,53.3797,0.28903,0.292138,0.333887,0.315057,0.201385,1,10,10
4.26728,69.143,3.89262,52.6579,0.295179,0.285722,0.302038,0.30272,0.200123,1,11,11
4.20208,68.6261,3.56467,55.2608,0.260029,0.249492,0.272126,0.298694,0.199435,1,12,12
4.25342,66.2346,3.87892,54.4185,0.306978,0.245739,0.336536,0.216191,0.199636,1,13,13
4.27396,66.9178,3.83751,57.4571,0.275521,0.257951,0.278054,0.335583,0.203801,1,14,14
4.24547,68.4057,3.58133,56.2578,0.278769,0.269163,0.300543,0.414269,0.202452,1,15,15
4.29957,67.3342,4.34184,57.1064,0.279519,0.27667,0.339516,0.292111,0.197159,1,16,16
4.28549,70.7056,3.51775,52.5535,0.297106,0.265723,0.28413,0.341214,0.204282,1,17,17
4.32707,68.2717,4.01533,54.5528,0.275942,0.259021,0.390542,0.331111,0.19865,1,18,18
4.2895,69.4186,3.91222,49.5966,0.288389,0.244299,0.243899,0.295356,0.20218,1,19,19
4.28555,68.7645,3.94473,49.6065,0.276674,0.247153,0.230603,0.301654,0.197169,1,20,20
4.27544,70.3184,3.99084,54.9019,0.288403,0.28373,0.276232,0.28093,0.197037,1,21,21
4.29374,68.6688,3.78799,52.197,0.269846,0.268426,0.298743,0.292888,0.211537,1,22,22
4.36002,68.3364,3.92695,54.3605,0.292455,0.264996,0.269481,0.273123,0.194242,1,23,23
4.36709,68.2154,4.14901,54.3849,0.269365,0.229839,0.273094,0.245746,0.198624,1,24,24
4.21339,66.0745,3.75952,47.153,0.292828,0.252552,0.172262,0.36303,0.203925,1,25,25
4.25258,66.2202,4.299,50.0647,0.284248,0.239782,0.250787,0.337308,0.198268,1,26,26
4.05403,67.2118,3.80972,53.7343,0.299509,0.299285,0.18549,0.222112,0.203496,1,27,27
4.08657,68.453,3.78924,53.6056,0.308611,0.29932,0.312458,0.224512,0.201987,1,28,28
4.15517,68.399,3.95751,52.6977,0.275926,0.294443,0.245412,0.215223,0.196868,1,29,29
4.11912,70.6052,3.83572,48.8533,0.278274,0.282857,0.275779,0.281615,0.202335,1,30,30
4.10118,69.4663,4.41585,53.0363,0.29796,0.265107,0.257829,0.259909,0.207133,1,31,31
4.05526,70.6634,3.75584,49.3901,0.26897,0.315816,0.213875,0.249089,0.203297,1,32,32
4.1144,68.6808,3.93452,50.5961,0.277221,0.297464,0.234292,0.332746,0.197419,1,33,33
4.01237,65.3393,3.96506,50.81,0.311397,0.279711,0.300048,0.298166,0.202367,1,34,34
4.02343,67.7737,3.90155,49.8024,0.304668,0.296798,0.341527,0.38862,0.197102,1,35,35
4.03112,70.2121,3.94104,55.3879,0.292292,0.293788,0.341812,0.279727,0.200078,1,36,36
4.04267,69.158,3.75297,49.5588,0.294402,0.292077,0.343651,0.257096,0.201093,1,37,37
4.07845,68.8629,3.91168,52.1264,0.282494,0.283858,0.389077,0.330155,0.206959,1,38,38
4.13705,69.8293,3.82538,51.7944,0.277402,0.277564,0.32061,0.278413,0.201742,1,39,39
4.11765,68.3928,3.79766,52.9032,0.272929,0.280116,0.260777,0.245345,0.202399,1,40,40
4.23589,70.1072,3.60446,49.4981,0.248479,0.275889,0.241511,0.269224,0.199273,1,41,41
4.31745,69.6492,3.99147,50.1368,0.238203,0.262952,0.31079,0.3308,0.201275,1,42,42
4.18493,69.3442,3.67264,51.7523,0.239389,0.303668,0.179567,0.35743,0.200814,1,43,43
4.15576,69.9637,3.90949,52.2395,0.244216,0.317845,0.261401,0.384759,0.193051,1,44,44
4.19525,68.2843,3.9823,57.997,0.250886,0.343892,0.329588,0.347896,0.205787,1,45,45
4.14909,64.2633,4.10682,54.4346,0.28707,0.359792,0.314964,0.29043,0.194723,1,46,46
4.23903,68.154,4.21244,48.9494,0.254044,0.294175,0.309716,0.243323,0.200269,1,47,47
4.30608,68.0417,4.06359,49.5792,0.263875,0.330324,0.401503,0.275855,0.19613,1,48,48
4.34502,67.0853,3.96644,51.2642,0.26827,0.360006,0.290081,0.231894,0.205955,1,49,49
4.31773,67.9415,3.94908,53.9788,0.257097,0.319175,0.28952,0.301803,0.19714,1,50,50
4.28628,67.5859,3.91859,55.1738,0.262707,0.291729,0.293309,0.197554,0.201141,1,51,51
4.11047,67.8538,3.74579,53.6423,0.270899,0.283748,0.277762,0.249646,0.204396,1,52,52
4.12931,69.463,4.22164,51.7812,0.253653,0.263025,0.268911,0.243226,0.203877,1,53,53
4.14478,68.514,3.97221,52.2092,0.260052,0.27242,0.200293,0.269874,0.200284,1,54,54
4.14053,68.296,4.17885,51.9037,0.254972,0.296032,0.337345,0.289174,0.205671,1,55,55
4.06119,67.9795,3.3883,54.7031,0.259247,0.298324,0.254757,0.268226,0.195972,1,56,56
4.01601,65.7841,4.12019,54.3984,0.264121,0.268714,0.300816,0.303011,0.202925,1,57,57
4.10609,66.4604,3.73662,54.7042,0.299291,0.289679,0.231788,0.304077,0.204646,1,58,58
4.07778,64.0406,4.25372,52.1129,0.309459,0.305156,0.265828,0.251859,0.201037,1,59,59
4.11592,67.5457,3.79697,53.3746,0.272072,0.271021,0.309348,0.32673,0.202045,1,60,60
4.11966,68.1001,4.04243,54.8101,0.299243,0.264178,0.351967,0.27489,0.199294,1,61,61
4.19954,66.9398,3.94762,55.8196,0.277089,0.304217,0.26215,0.291737,0.200422,1,62,62
4.14092,68.5836,3.66124,50.6406,0.271654,0.291854,0.27858,0.370838,0.20185,1,63,63
4.11904,68.0052,4.13088,59.3103,0.278297,0.271035,0.337847,0.355294,0.200267,1,64,64
4.18525,68.1909,4.18335,61.5732,0.286398,0.271437,0.333692,0.37372,0.199148,1,65,65
4.14294,67.9644,4.06398,59.9355,0.276805,0.263146,0.378795,0.421572,0.199394,1,66,66
4.15242,68.4448,3.69631,56.7513,0.256243,0.26762,0.349728,0.28295,0.200706,1,67,67
4.23091,68.8893,3.52624,53.2419,0.282259,0.270955,0.333062,0.363867,0.197217,1,68,68
4.19517,68.7295,3.57758,52.0508,0.282631,0.268542,0.323191,0.274385,0.20825,1,69,69
4.1784,70.8316,3.78266,53.5421,0.281859,0.257608,0.263165,0.309074,0.202628,1,70,70
3.93757,67.8386,3.34435,55.0837,0.322178,0.311881,0.313741,0.418038,0.204035,1,71,71
3.99024,69.7212,3.78332,56.2678,0.335141,0.302642,0.283705,0.366738,0.204427,1,72,72
3.92146,69.3523,3.51383,57.5791,0.333066,0.295599,0.315333,0.418145,0.206062,1,73,73
3.88225,70.0952,3.59811,62.0005,0.348464,0.308541,0.295356,0.451282,0.202484,1,74,74
3.84709,69.3803,3.4506,59.1889,0.338232,0.321872,0.372527,0.426734,0.192907,1,75,75
3.92953,67.854,3.62339,59.0928,0.342129,0.328298,0.33509100000000003,0.42498,0.195873,1,76,76
4.00969,68.0393,3.43563,57.1476,0.325578,0.316383,0.339867,0.399986,0.194212,1,77,77
