TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma,.chain,.iteration,.draw
4.09432,68.3036,4.3447,53.2368,0.269207,0.26923,0.609932,0.342503,0.19724,1,1,1
4.08196,68.4995,4.28445,54.9157,0.273058,0.276181,0.236613,0.323617,0.204098,1,2,2
4.0845,66.222,4.37411,57.9593,0.269005,0.27956,0.289876,0.33652,0.200459,1,3,3
4.10177,67.9898,4.3223,58.2224,0.282227,0.237202,0.331629,0.321873,0.203059,1,4,4
4.05065,66.9888,4.3259,50.9101,0.283137,0.295567,0.389648,0.367852,0.201117,1,5,5
4.05919,69.9795,4.08887,54.6455,0.274276,0.239421,0.239275,0.341179,0.203818,1,6,6
4.08016,67.59,4.27868,55.9349,0.27327,0.256297,0.266957,0.353938,0.204336,1,7,7
4.03794,68.2269,3.82735,54.998,0.280722,0.278812,0.334182,0.284599,0.199708,1,8,8
4.06492,68.7604,4.34583,54.9648,0.304329,0.271047,0.477323,0.312886,0.203203,1,9,9
4.0738,66.0966,4.51994,58.7484,0.299109,0.270415,0.366802,0.346895,0.198814,1,10,10
4.03818,70.5541,3.74661,50.1585,0.284119,0.29855,0.360314,0.369945,0.201297,1,11,11
4.04514,70.5667,3.74455,50.5125,0.286724,0.302612,0.420368,0.35995,0.201446,1,12,12
4.03596,70.0937,4.07525,52.1749,0.288345,0.298643,0.303329,0.323908,0.202581,1,13,13
4.035,67.291,4.09195,55.9504,0.294549,0.256208,0.406182,0.334725,0.201177,1,14,14
4.02293,67.2896,4.19067,54.9373,0.290832,0.265005,0.401653,0.316222,0.202635,1,15,15
4.04124,66.2632,4.11371,54.0445,0.308355,0.28023,0.339855,0.291318,0.201496,1,16,16
4.07763,67.3844,4.42647,54.5935,0.291919,0.278542,0.305477,0.325553,0.204848,1,17,17
3.98045,69.2984,4.58895,53.9936,0.297599,0.279231,0.35916,0.280368,0.198522,1,18,18
3.9983,69.5992,4.30593,54.6214,0.294224,0.282413,0.364296,0.266252,0.199627,1,19,19
4.06722,67.2214,4.26411,52.6693,0.27815,0.29925,0.329342,0.356465,0.202771,1,20,20
4.04598,68.725,3.78712,54.8591,0.267761,0.259211,0.38856,0.380019,0.200959,1,21,21
4.09148,67.7922,4.45892,53.437,0.27501,0.287714,0.402528,0.317896,0.19814,1,22,22
4.10469,67.1921,4.66542,55.1818,0.281263,0.261475,0.321329,0.277088,0.199443,1,23,23
4.03195,69.0465,4.36778,52.6257,0.2969,0.262272,0.253936,0.348711,0.201847,1,24,24
4.08681,67.9804,3.88201,56.0471,0.296418,0.286743,0.367838,0.277383,0.200033,1,25,25
4.04659,66.4936,4.57754,54.9285,0.313182,0.232947,0.380749,0.385788,0.200347,1,26,26
4.01559,66.449700000000007,3.71111,53.7048,0.311012,0.275987,0.335095,0.452831,0.203802,1,27,27
4.10494,65.3943,4.46174,55.083,0.292885,0.263638,0.347726,0.296688,0.201363,1,28,28
4.0997,67.082,4.07764,55.8695,0.286979,0.275923,0.268549,0.324389,0.200104,1,29,29
4.11794,64.6815,4.49848,53.5965,0.318722,0.252901,0.233522,0.284925,0.204436,1,30,30
4.05315,66.3042,3.9172,50.6143,0.319149,0.242863,0.368913,0.333716,0.199335,1,31,31
3.99099,67.7488,4.23999,56.9447,0.283534,0.253395,0.398884,0.311819,0.200682,1,32,32
4.00659,67.876,4.22837,49.6891,0.282689,0.240795,0.23191,0.309274,0.201274,1,33,33
4.00686,67.0343,4.34727,52.5291,0.278989,0.22554,0.318627,0.321089,0.202996,1,34,34
4.0035,66.9608,4.75561,57.0802,0.289703,0.270183,0.345252,0.28418,0.204108,1,35,35
3.96186,68.9965,4.06621,56.5431,0.287127,0.249833,0.368486,0.28422,0.204447,1,36,36
4.06142,68.1231,4.51767,55.9351,0.28819,0.253985,0.378917,0.31559,0.206119,1,37,37
4.12298,65.6341,4.86205,55.9539,0.283062,0.277457,0.400844,0.339298,0.196783,1,38,38
4.09098,67.8651,3.87069,52.6753,0.291149,0.244297,0.251691,0.320549,0.204509,1,39,39
4.19562,69.2724,4.43418,52.7128,0.272437,0.268729,0.291412,0.252608,0.203878,1,40,40
4.12847,67.958,4.34355,56.3572,0.280022,0.258349,0.367504,0.313194,0.199859,1,41,41
4.16901,69.1544,4.4965,53.2743,0.29596,0.240188,0.395202,0.264069,0.202456,1,42,42
4.0464,66.8803,3.92994,55.1826,0.288572,0.284172,0.335746,0.267063,0.205807,1,43,43
