TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma,.chain,.iteration,.draw
3.88702,68.6835,3.97792,54.283,0.264377,0.311396,0.289721,0.325333,0.200459,1,1,1
3.93178,69.4418,3.92709,54.7953,0.26399,0.286979,0.254758,0.289965,0.207548,1,2,2
3.92634,68.1459,3.80663,56.2731,0.262108,0.290916,0.268694,0.306013,0.205132,1,3,3
3.88141,67.2063,3.87306,56.7639,0.277314,0.277757,0.313106,0.287431,0.203071,1,4,4
3.91302,68.3802,3.67199,53.4152,0.252222,0.291977,0.354007,0.213619,0.197087,1,5,5
4.04669,65.6482,4.19849,51.6468,0.230362,0.275945,0.46414299999999997,0.26581,0.204567,1,6,6
3.92782,67.3907,4.04276,54.3431,0.245716,0.292701,0.442778,0.26109,0.197999,1,7,7
3.90869,65.9536,3.94319,54.2159,0.247249,0.272169,0.367926,0.32496,0.19524,1,8,8
4.05085,66.7543,4.13004,55.1204,0.245246,0.274928,0.374084,0.243419,0.203861,1,9,9
3.98813,66.25,3.9495,57.6771,0.261549,0.287773,0.318228,0.326201,0.199577,1,10,10
4.00109,67.5399,3.78079,59.2712,0.249771,0.260166,0.321588,0.35705,0.198821,1,11,11
4.11909,67.463,3.92925,56.249,0.306879,0.303465,0.378863,0.313638,0.198465,1,12,12
4.08785,67.3214,4.04624,57.0766,0.283382,0.294044,0.3353,0.325063,0.197635,1,13,13
4.07159,69.2336,4.45206,52.8034,0.283703,0.284442,0.339805,0.30183,0.200441,1,14,14
4.04872,70.0026,3.62222,52.4216,0.273418,0.306159,0.264286,0.346237,0.196803,1,15,15
4.09155,69.1224,4.34645,53.9914,0.255344,0.279357,0.318719,0.308283,0.199507,1,16,16
4.09976,69.5801,4.2514,54.1231,0.252691,0.294069,0.300055,0.338132,0.198739,1,17,17
4.1145,68.8723,3.8779,55.8201,0.26318,0.285367,0.32698700000000003,0.282804,0.20077,1,18,18
4.13825,69.7235,4.30295,52.5327,0.25024,0.285668,0.378117,0.422116,0.198767,1,19,19
4.08178,68.0429,4.33706,55.3583,0.262532,0.318362,0.346521,0.421982,0.196537,1,20,20
4.13486,67.9994,4.37382,52.432,0.252007,0.301177,0.37783,0.360706,0.194149,1,21,21
4.09162,66.9973,4.5124,52.8208,0.293283,0.2656,0.322996,0.33174,0.205019,1,22,22
4.14923,66.2975,4.1311,55.8499,0.267779,0.26227,0.291697,0.360334,0.199197,1,23,23
4.07248,68.077,4.15942,55.2294,0.263729,0.26126,0.315407,0.307251,0.199467,1,24,24
4.06335,67.4228,3.93713,56.128,0.268608,0.262841,0.270488,0.258597,0.197249,1,25,25
4.11712,64.9375,3.7689,53.7669,0.274007,0.297338,0.337391,0.276453,0.20751,1,26,26
4.0954,64.3416,3.70275,52.0764,0.250453,0.27425,0.26964,0.296835,0.201673,1,27,27
4.11584,63.9152,3.8138,52.7074,0.24134,0.269829,0.37027,0.222879,0.201693,1,28,28
4.02845,63.7357,3.714,58.0918,0.24617,0.292243,0.425299,0.260231,0.194504,1,29,29
4.11007,63.5712,4.01809,54.51,0.243999,0.298273,0.425653,0.255612,0.198265,1,30,30
4.04935,65.856,3.83426,56.565,0.252127,0.30228,0.402859,0.267416,0.199205,1,31,31
4.15177,67.7654,4.42462,51.8097,0.247275,0.277607,0.425168,0.239861,0.201983,1,32,32
4.07647,67.6154,3.70045,63.0436,0.279185,0.255712,0.318359,0.27478,0.204524,1,33,33
