TVCL,TVVC,TVQ,TVVP,omega[1],omega[2],omega[3],omega[4],sigma,.chain,.iteration,.draw
4.02074,65.2691,4.45622,54.2999,0.320979,0.277532,0.433885,0.317954,0.197245,1,1,1
4.03848,65.1813,4.30319,52.4443,0.307198,0.27431,0.390171,0.332638,0.197245,1,2,2
4.05758,66.2292,4.04975,62.9256,0.344337,0.27942,0.412278,0.318888,0.194283,1,3,3
4.01974,66.2395,4.10517,63.5513,0.349466,0.289218,0.421054,0.31933,0.193523,1,4,4
3.92345,67.074,4.13901,59.0885,0.34168,0.250299,0.383413,0.384857,0.19839,1,5,5
4.00983,67.872,3.96268,60.4249,0.320862,0.26906,0.388152,0.393441,0.198726,1,6,6
4.11115,70.9153,3.80558,55.0177,0.275353,0.261556,0.377456,0.23636,0.19896,1,7,7
4.11499,69.4593,4.20929,55.4284,0.26203,0.258179,0.464853,0.240626,0.195009,1,8,8
4.18859,70.1703,4.37934,52.2726,0.285959,0.279335,0.497112,0.213103,0.20148,1,9,9
4.20922,69.5563,4.37603,52.851,0.302888,0.290144,0.492183,0.194953,0.199137,1,10,10
4.24645,69.1849,4.20253,54.6264,0.287659,0.278685,0.468244,0.225971,0.210692,1,11,11
4.20625,68.8415,4.11137,53.9608,0.276855,0.265693,0.461909,0.20617,0.200828,1,12,12
4.24462,69.388,4.13781,53.9529,0.279,0.280451,0.405554,0.239337,0.204495,1,13,13
4.22264,69.0194,4.32783,54.9186,0.295186,0.285898,0.427187,0.299505,0.19467,1,14,14
4.23233,68.5052,4.45979,53.9078,0.274703,0.265103,0.407339,0.31547,0.206486,1,15,15
4.12036,68.9841,4.37188,54.4056,0.286153,0.260237,0.429491,0.223837,0.194254,1,16,16
4.12332,69.5023,4.37655,54.3287,0.280831,0.263672,0.411644,0.220643,0.193967,1,17,17
4.10518,69.6905,4.6367,57.0248,0.293271,0.271806,0.471706,0.304388,0.20801,1,18,18
4.15876,70.3926,4.15738,52.8157,0.274219,0.247733,0.326083,0.31861,0.196971,1,19,19
4.19134,69.1381,4.59178,53.4648,0.281017,0.293772,0.524625,0.369252,0.203233,1,20,20
4.23014,68.0383,4.69723,56.197,0.271852,0.284686,0.486326,0.341538,0.199092,1,21,21
4.12083,67.9839,4.1725,59.7291,0.285242,0.265109,0.403308,0.316241,0.199562,1,22,22
4.22767,66.5979,4.28045,53.0274,0.267886,0.253743,0.388998,0.283786,0.196048,1,23,23
4.09605,66.5416,3.58669,54.4719,0.258211,0.265651,0.354028,0.274667,0.201832,1,24,24
4.14608,67.7487,3.5863,56.8354,0.261623,0.263716,0.348507,0.268658,0.201931,1,25,25
4.19942,66.2467,3.62959,55.6895,0.261524,0.280109,0.378604,0.291647,0.202265,1,26,26
