TVCL,TVVC,TVQ,TVVP,TVKA,TVMTT,TVCIRC0,TVGAMMA,TVALPHA,omega[1],omega[2],omega[3],omega[4],omega[5],omega[6],omega[7],omega[8],omega[9],sigma,sigma_pd,.chain,.iteration,.draw
3.48732,56.647,4.3524,49.5375,0.762302,144.676,4.73624,0.282079,4.1964e-4,0.433863,0.263397,0.256152,0.271936,0.178649,0.506968,0.299898,0.595043,0.376693,0.191601,0.227004,1,1,1
3.4036,74.1469,3.33206,42.5329,1.12564,147.381,4.48245,0.280948,3.87324e-4,0.392249,0.361457,0.136236,0.0832048,0.503222,0.453506,0.310774,0.410251,0.335007,0.197687,0.224276,1,2,2
3.17956,52.2004,4.78153,45.9157,0.833905,104.055,5.27096,0.07767,3.37309e-4,0.419553,0.185933,0.149808,0.173998,0.214261,0.276161,0.279594,0.567604,0.309476,0.192441,0.199906,1,3,3
3.53116,55.0005,4.7386,49.0164,0.685811,137.413,5.07192,0.200528,4.26745e-4,0.418798,0.401229,0.0816384,0.0769174,0.149559,0.38221,0.41841,0.323875,0.490954,0.196902,0.225384,1,4,4
3.87053,61.3013,2.56098,41.2767,0.972513,146.338,5.04837,0.176116,3.3295e-4,0.292813,0.187823,0.213472,0.156901,0.0258615,0.541594,0.578246,0.215154,0.188271,0.193285,0.201346,1,5,5
4.24055,47.9135,4.31218,47.7161,0.75168,126.713,4.83997,0.197311,4.41715e-4,0.466794,0.244272,0.00182457,0.381009,0.0404369,0.488299,0.321962,0.770735,0.363064,0.196131,0.221932,1,6,6
4.53713,47.4989,4.87387,61.4442,0.686414,126.107,4.77344,0.13354,2.99291e-4,0.343869,0.138673,0.10805,0.22664,0.275169,0.234482,0.575382,0.272243,0.44076,0.192429,0.199533,1,7,7
5.16317,61.9765,3.09394,40.9647,0.915445,118.583,4.56533,0.146766,3.56834e-4,0.493056,0.317519,0.15215,0.383823,0.210346,0.308485,0.342255,0.582037,0.383929,0.189838,0.221028,1,8,8
4.59913,43.4722,5.37569,58.6091,0.668351,134.788,5.06491,0.114315,4.658e-4,0.357421,0.146047,0.0665319,0.162916,0.255599,0.280249,0.348997,0.763247,0.483879,0.189648,0.201117,1,9,9
4.60617,42.2265,5.9703,55.4583,0.734861,128.457,4.92838,0.137355,3.4887e-4,0.287422,0.129748,0.400788,0.284412,0.468043,0.460922,0.296878,0.585738,0.661417,0.199226,0.203097,1,10,10
4.95456,56.3855,2.97556,46.3939,1.06505,121.032,4.58531,0.0945508,3.57934e-4,0.390611,0.253875,0.219167,0.653678,0.231233,0.408678,0.538302,0.523587,0.354968,0.184792,0.208716,1,11,11
5.1536,45.3863,5.22613,56.3668,0.610364,111.608,5.08594,0.146763,3.46986e-4,0.367143,0.277359,0.0267342,0.180036,0.397028,0.308542,0.521808,0.355772,0.297761,0.194228,0.206368,1,12,12
4.22519,49.5136,3.95492,50.139,0.810236,112.375,5.04262,0.145848,3.75196e-4,0.267836,0.330134,0.148887,0.179884,0.225248,0.341853,0.350026,0.744309,0.395201,0.191833,0.209489,1,13,13
3.53982,55.2223,3.66243,49.9629,0.691133,147.982,4.71579,0.150553,3.50033e-4,0.421389,0.180319,0.0170498,0.297385,0.176327,0.437337,0.368428,0.240401,0.217106,0.195816,0.205047,1,14,14
3.68142,57.9279,3.88675,51.8466,0.773569,143.024,4.7564,0.145809,3.65493e-4,0.407695,0.186948,0.0454315,0.291617,0.238368,0.428554,0.379238,0.285387,0.251759,0.196376,0.202437,1,15,15
3.73637,51.1771,4.48164,47.5965,0.725984,129.132,4.68107,0.233605,3.65788e-4,0.244701,0.193215,0.0691741,0.198179,0.250481,0.529247,0.416904,0.538221,0.377591,0.19475,0.217225,1,16,16
4.08318,58.8402,3.12485,48.7254,0.81178,110.108,5.52833,0.118633,3.83904e-4,0.397715,0.14598,0.054686,0.20204,0.383127,0.285928,0.431637,0.498101,0.358156,0.195119,0.20022,1,17,17
3.70116,42.5265,5.14354,50.7396,0.627781,135.799,4.6776,0.186741,3.49415e-4,0.379436,0.168258,0.196395,0.208906,0.347267,0.29505,0.450902,0.54968,0.920872,0.195249,0.206415,1,18,18
3.42861,65.3512,3.48582,43.6879,0.911261,112.628,5.59455,0.0950864,2.60389e-4,0.425705,0.241424,0.0157897,0.409763,0.0181697,0.409903,0.374977,0.641579,0.444541,0.193186,0.202073,1,19,19
4.00703,51.8493,4.69588,51.1168,0.773801,129.436,5.59039,0.155946,4.07412e-4,0.56314,0.245734,0.00272603,0.290946,0.0118048,0.40613,0.482166,0.601694,0.366574,0.195693,0.21178,1,20,20
4.02547,55.6321,3.14086,39.8291,0.851907,102.519,5.00996,0.101968,3.11255e-4,0.329695,0.173503,0.238145,0.362914,0.141286,0.226785,0.388403,0.650383,0.424745,0.189528,0.206205,1,21,21
4.12046,51.4199,4.90615,48.2016,0.787394,99.7043,5.06042,0.109967,2.94937e-4,0.291961,0.191779,0.04104,0.480477,0.24057,0.227585,0.323798,0.613475,0.381312,0.195724,0.204422,1,22,22
3.88097,52.7564,3.03831,40.372,0.773846,120.786,4.90445,0.163022,3.33133e-4,0.303273,0.163215,0.145454,0.230929,0.24689,0.167179,0.350647,0.330048,0.758942,0.186903,0.214652,1,23,23
4.06578,54.0306,3.26167,43.75,0.84983,113.045,5.50804,0.0991263,2.99352e-4,0.278346,0.163233,0.233505,0.331742,0.378849,0.235103,0.432952,0.578859,0.609577,0.187903,0.218434,1,24,24
4.09719,52.6017,4.10274,46.8808,0.84411,125.953,4.64664,0.18537,3.03999e-4,0.378486,0.230663,0.229656,0.311134,0.160875,0.283366,0.267797,0.416478,0.243455,0.197508,0.205346,1,25,25
4.2371,55.7973,4.21701,44.3384,0.755993,98.9601,4.39276,0.121737,3.09938e-4,0.412647,0.316999,0.170197,0.332002,0.023705,0.210875,0.302086,0.621531,0.486311,0.189355,0.199373,1,26,26
4.25878,58.2721,4.7197,44.029,0.802187,99.7206,4.29344,0.126424,2.96376e-4,0.410541,0.362054,0.174781,0.327843,0.0632821,0.23883,0.324041,0.615822,0.52417,0.187197,0.196384,1,27,27
4.35732,52.816,3.83273,53.8993,0.818252,121.62,5.05534,0.122884,3.78052e-4,0.350853,0.177869,0.120236,0.409216,0.223077,0.224396,0.523747,0.560146,0.328819,0.198476,0.228449,1,28,28
3.46477,57.7654,3.35873,44.896,0.810717,125.616,4.85325,0.189045,2.80134e-4,0.437561,0.266858,0.333144,0.158041,0.260208,0.165604,0.252883,0.484873,0.383533,0.19353,0.206761,1,29,29
4.56504,46.0646,5.04485,50.2253,0.707836,89.1024,5.2691,0.0810363,2.99295e-4,0.56118,0.223128,0.224494,0.320439,0.0344988,0.3152,0.458947,0.801811,0.348048,0.19323100000000001,0.22238,1,30,30
4.0643,52.0857,3.7682,44.2621,0.863569,127.737,4.60431,0.190824,3.14535e-4,0.277156,0.182669,0.183844,0.313403,0.463558,0.125657,0.281033,0.465252,0.356223,0.19008,0.205484,1,31,31
4.13628,53.5706,3.73781,40.8849,0.805834,125.316,4.61101,0.177261,2.87453e-4,0.28875,0.18264,0.274279,0.373969,0.383305,0.123427,0.297861,0.573333,0.424655,0.189388,0.200344,1,32,32
4.64645,47.8744,3.91649,51.962,0.669749,110.997,6.65711,0.160788,3.88024e-4,0.535884,0.213335,0.241108,0.310278,0.108708,0.508873,0.440247,0.897982,0.590943,0.203249,0.220824,1,33,33
4.59784,43.7574,4.40996,52.3,0.712858,110.014,5.20389,0.152762,3.75433e-4,0.468948,0.263019,0.123135,0.438394,0.232027,0.110395,0.507834,0.382327,0.458884,0.178982,0.213575,1,34,34
4.50242,48.856,5.01197,54.2361,0.702777,108.884,4.94906,0.166242,2.42579e-4,0.463017,0.122739,0.10612,0.290174,0.331135,0.473576,0.319197,0.678796,0.396583,0.202649,0.213284,1,35,35
