TVCL,TVVC,TVQ,TVVP,TVKA,TVMTT,TVCIRC0,TVGAMMA,TVALPHA,omega[1],omega[2],omega[3],omega[4],omega[5],omega[6],omega[7],omega[8],omega[9],sigma,sigma_pd,.chain,.iteration,.draw
4.53008,45.9859,4.40664,53.2122,0.696587,131.994,4.46749,0.119321,2.9213e-4,0.268033,0.191154,0.113528,0.200932,0.178277,0.286666,0.29378,0.643456,0.412574,0.188929,0.204251,1,1,1
4.4994,58.0601,3.77934,37.439,0.90957,104.201,5.83296,0.200451,2.8759e-4,0.262249,0.334588,0.0338975,0.332705,0.276539,0.178961,0.547402,0.448685,0.578398,0.199144,0.21763,1,2,2
4.64948,57.5115,3.6741,42.7598,0.952899,96.1553,5.50119,0.162805,2.85937e-4,0.27226,0.288529,0.067469199999999993,0.282345,0.375242,0.295931,0.595156,0.701438,0.523874,0.191299,0.220444,1,3,3
4.74692,58.2308,3.66597,38.1289,0.852145,110.058,4.83381,0.195446,2.26798e-4,0.258572,0.301783,0.0304214,0.419857,0.231924,0.342257,0.257586,0.618439,0.461632,0.192334,0.209684,1,4,4
4.75204,57.3344,3.87217,57.4874,1.01916,115.897,5.17424,0.112276,2.52222e-4,0.545519,0.277921,0.0971145,0.415236,0.154441,0.118685,0.288497,0.737605,0.597222,0.19355,0.210566,1,5,5
4.04166,47.3679,4.59212,44.5394,0.680521,107.729,5.34717,0.1492,3.91766e-4,0.27637,0.367631,8.02771e-4,0.332147,0.00511842,0.425849,0.382324,0.398458,0.401084,0.184905,0.208225,1,6,6
4.11383,54.7257,4.479,49.3699,0.858082,111.854,4.58201,0.13502,4.26796e-4,0.310341,0.287961,6.81502e-4,0.22868,0.00708093,0.280283,0.333435,0.329179,0.651961,0.19213,0.206425,1,7,7
3.64145,44.3793,4.93656,52.933,0.659648,116.671,5.08221,0.173653,3.20525e-4,0.327692,0.249914,0.130951,0.120542,0.100407,0.357794,0.41054,0.710944,0.224521,0.197631,0.218079,1,8,8
3.51733,59.1492,2.43299,42.4758,1.24215,142.786,4.4418,0.138821,3.52745e-4,0.439658,0.248129,0.00561167,0.320863,0.246348,0.36140099999999997,0.376533,0.517443,0.50475,0.189611,0.209375,1,9,9
4.61582,43.9137,5.35089,55.2279,0.673357,123.296,4.63599,0.168021,3.59567e-4,0.415658,0.219491,0.0464449,0.191892,0.464585,0.334539,0.309714,0.395679,0.455613,0.193631,0.207104,1,10,10
