TVCL,TVVC,TVQ,TVVP,TVKA,TVMTT,TVCIRC0,TVGAMMA,TVALPHA,omega[1],omega[2],omega[3],omega[4],omega[5],omega[6],omega[7],omega[8],omega[9],sigma,sigma_pd,.chain,.iteration,.draw
4.51324,48.2005,4.61555,61.7972,0.638188,143.776,4.85831,0.0934991,2.85722e-4,0.51255,0.247192,0.175113,0.373988,0.441375,0.512463,0.475502,0.453613,0.554032,0.190561,0.197819,1,1,1
4.08959,48.0726,4.67784,47.211,0.822843,128.447,4.6897,0.133268,4.93814e-4,0.493605,0.230487,0.137503,0.244891,0.247821,0.34357,0.364077,0.51354,0.42621,0.18433,0.202714,1,2,2
4.08888,39.0275,4.75472,50.6538,0.659828,133.254,5.68609,0.154449,2.81356e-4,0.348515,0.274638,0.226355,0.267844,0.259593,0.216082,0.457835,0.704746,0.551309,0.201334,0.210808,1,3,3
4.17752,52.6144,4.13978,47.0984,0.712293,96.1002,5.12818,0.0882937,2.85122e-4,0.393504,0.214969,0.0261868,0.630934,0.350951,0.183339,0.321735,0.641899,0.443952,0.193486,0.210533,1,4,4
4.33136,54.9912,3.87407,42.9267,0.814362,109.155,4.73802,0.103489,2.80245e-4,0.537913,0.183366,0.281965,0.184677,0.402806,0.0387797,0.260465,0.70916,0.590061,0.193087,0.205587,1,5,5
4.66178,48.742,4.96285,49.3306,0.837258,108.282,6.11154,0.0830708,2.60956e-4,0.509315,0.175875,0.0292964,0.154372,0.339271,0.0448817,0.460907,0.779906,0.257598,0.192919,0.226099,1,6,6
4.26641,46.4654,3.48575,42.7859,0.687892,116.431,6.09393,0.101376,2.574e-4,0.544182,0.202263,0.105092,0.112738,0.180819,0.0584811,0.377461,0.934997,0.58304,0.207275,0.247762,1,7,7
4.03647,50.1101,4.66817,49.2242,0.706439,100.212,5.122,0.109197,2.68535e-4,0.318315,0.0667475,0.0837478,0.24493500000000001,0.274413,0.0463009,0.345055,0.751739,0.489753,0.179729,0.183315,1,8,8
4.28129,41.7554,5.57715,53.3918,0.627083,102.41,4.9578,0.0967659,3.18688e-4,0.374936,0.198922,0.0488798,0.255994,0.214076,0.370918,0.390341,0.645806,0.494086,0.199571,0.243296,1,9,9
4.13668,54.3845,3.91892,43.6308,0.803696,114.387,4.81808,0.129341,3.0455e-4,0.248514,0.201506,0.0494585,0.200798,0.101416,0.161224,0.602029,0.496587,0.455323,0.188156,0.185443,1,10,10
4.1831,58.9708,4.35603,48.5418,0.917368,104.671,4.93877,0.126243,3.0411e-4,0.259619,0.202119,0.090067,0.342715,0.161336,0.162541,0.331547,0.481727,0.342958,0.190562,0.202747,1,11,11
4.09409,56.8729,3.76344,48.3278,0.833086,103.855,4.91284,0.127105,3.19434e-4,0.281182,0.185289,0.020118,0.376449,0.0586799,0.129529,0.426195,0.43757,0.367159,0.187601,0.20559,1,12,12
3.991,60.8402,3.80996,50.1491,0.885263,121.471,5.01519,0.168601,3.02601e-4,0.291333,0.185906,0.0168133,0.312188,0.0496019,0.114203,0.384787,0.390482,0.359408,0.189571,0.210375,1,13,13
3.89091,54.1343,4.6711,56.0177,0.876388,135.879,4.13411,0.131273,2.57051e-4,0.245512,0.24517,0.0121982,0.383441,0.158979,0.569006,0.37982,0.429189,0.406764,0.182249,0.22814,1,14,14
3.76879,42.6767,4.33943,51.1959,0.781637,148.357,4.2715,0.153619,3.94278e-4,0.236404,0.198021,0.0774533,0.390145,0.182973,0.480277,0.330043,0.285885,0.704739,0.194917,0.226914,1,15,15
