TVCL,TVVC,TVQ,TVVP,TVKA,TVMTT,TVCIRC0,TVGAMMA,TVALPHA,omega[1],omega[2],omega[3],omega[4],omega[5],omega[6],omega[7],omega[8],omega[9],sigma,sigma_pd,.chain,.iteration,.draw
3.79896,50.4117,4.9414,50.2591,0.809016,105.772,4.69395,0.169303,4.04926e-4,0.310993,0.180166,0.20638,0.154277,0.176799,0.315952,0.386859,0.631666,0.689298,0.198191,0.195589,1,1,1
3.81599,52.4056,4.60538,49.5171,0.835382,109.846,4.50899,0.167248,4.16934e-4,0.329573,0.151724,0.1992,0.160149,0.196293,0.379442,0.401022,0.668585,0.684869,0.197274,0.198625,1,2,2
3.7221,62.7758,3.82847,43.6124,0.80495,127.295,5.09544,0.1499,2.63283e-4,0.574271,0.460695,0.199495,0.14326,0.390816,0.323007,0.328646,0.360671,0.45539,0.188612,0.226184,1,3,3
4.13761,53.2341,3.66953,48.4385,0.861012,138.991,5.55903,0.130173,2.52038e-4,0.422033,0.151437,0.143672,0.256317,0.352561,0.257467,0.481863,0.691051,0.424237,0.197543,0.212512,1,4,4
4.25954,52.3201,3.53297,49.1438,0.754814,117.279,4.79275,0.150256,2.87665e-4,0.35112,0.18747,0.376744,0.171341,0.258523,0.429307,0.346413,0.320355,0.380543,0.198404,0.207558,1,5,5
3.70427,50.8974,5.12805,58.8529,0.596486,103.525,4.73159,0.126771,2.30801e-4,0.453248,0.384115,0.189701,0.230655,0.337863,0.581869,0.510459,1.19422,0.543097,0.194618,0.199638,1,6,6
3.79918,50.9636,4.50097,50.12,0.744357,124.731,4.88693,0.220021,3.70083e-4,0.364604,0.241398,0.148717,0.134898,0.289382,0.362298,0.351161,0.327269,0.337062,0.190376,0.207896,1,7,7
3.81048,52.4145,4.01783,41.2338,0.932555,108.254,5.12369,0.0925966,3.10366e-4,0.251295,0.229401,0.429012,0.159396,0.399677,0.150736,0.431541,0.862648,0.511729,0.196708,0.211196,1,8,8
3.77727,48.7692,5.69974,57.2805,0.65575,130.047,5.24586,0.213328,4.27795e-4,0.289657,0.149903,0.125366,0.260973,0.29503,0.317597,0.298372,0.307574,0.306509,0.184697,0.208194,1,9,9
3.52155,50.9434,3.57712,41.0917,0.996308,103.897,5.21093,0.100782,3.38488e-4,0.338945,0.205066,0.0263768,0.263453,0.366677,0.129535,0.437022,0.859992,0.502989,0.20279,0.202086,1,10,10
3.46632,44.617,3.38823,31.9446,0.714545,139.756,4.32903,0.227067,3.48484e-4,0.358846,0.148522,0.395532,0.389635,0.195174,0.277802,0.43996,0.252492,0.514604,0.181003,0.223142,1,11,11
