TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma,.chain,.iteration,.draw
4.27206,74.5354,3.96106,48.0276,1.05599,0.268294,0.301418,0.236922,0.323089,0.240858,0.199225,1,1,1
4.32807,70.2404,4.11826,51.3071,0.983636,0.301369,0.339262,0.409069,0.247347,0.305097,0.198193,1,2,2
4.3169,71.1235,3.8756,47.6314,1.10573,0.299376,0.327781,0.353366,0.305175,0.354434,0.197279,1,3,3
4.30094,68.8447,3.77136,47.5944,1.0463,0.302746,0.354151,0.366198,0.270339,0.284337,0.199398,1,4,4
4.25918,74.8046,3.66197,47.9506,1.03291,0.326444,0.353008,0.264232,0.275751,0.221038,0.201151,1,5,5
4.33065,74.6773,3.70311,48.6137,1.10992,0.340603,0.318093,0.255737,0.335973,0.29816,0.196358,1,6,6
4.36684,72.6628,3.91859,47.9346,1.05152,0.347875,0.292774,0.0893854,0.283393,0.298695,0.201095,1,7,7
4.32456,75.3964,3.42815,48.5489,1.07724,0.299341,0.325701,0.139896,0.290964,0.288337,0.197797,1,8,8
4.34357,75.8274,3.64699,48.9945,1.08353,0.313453,0.322093,0.156712,0.303124,0.241757,0.198839,1,9,9
4.22999,75.2955,3.91154,47.9621,1.02847,0.303538,0.311305,0.245838,0.275811,0.271299,0.197531,1,10,10
4.12597,74.5871,3.76308,50.3082,1.08062,0.306721,0.346565,0.372172,0.255571,0.233743,0.198974,1,11,11
4.11873,75.1019,3.25303,51.2806,1.05235,0.309995,0.346495,0.320929,0.298133,0.240993,0.196315,1,12,12
4.1124,73.1112,3.48477,46.8148,1.1199,0.317048,0.359182,0.280199,0.333818,0.225051,0.198612,1,13,13
4.09216,73.011,3.57403,48.0689,1.02112,0.315673,0.308258,0.256567,0.303625,0.22448100000000001,0.198605,1,14,14
4.13649,72.3593,4.76251,50.5562,1.05041,0.308823,0.319459,0.174654,0.326214,0.205116,0.19565,1,15,15
