TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma,.chain,.iteration,.draw
3.85431,71.6017,3.36414,53.5754,1.11652,0.343648,0.30745,0.397628,0.455443,0.247242,0.196112,1,1,1
3.86757,70.5198,3.10048,54.1473,1.06367,0.360876,0.419342,0.396833,0.400522,0.273041,0.196858,1,2,2
3.88192,69.7922,3.67116,53.7243,1.03463,0.332279,0.323216,0.351714,0.422801,0.270208,0.191803,1,3,3
4.08783,74.4796,3.10181,52.6959,0.992626,0.357269,0.35752,0.391642,0.417547,0.273754,0.193712,1,4,4
4.14972,74.3737,3.6567,55.7389,1.09,0.283904,0.369372,0.550858,0.392672,0.275435,0.193566,1,5,5
4.00524,67.2526,3.52263,51.6222,0.935445,0.330519,0.423515,0.476908,0.369399,0.189895,0.1973,1,6,6
4.10978,71.306,3.57486,57.6871,1.05453,0.33188,0.336987,0.359931,0.394225,0.26842,0.195316,1,7,7
4.18972,71.1142,3.27611,56.0654,1.0381,0.292867,0.364488,0.446794,0.397944,0.245797,0.19702,1,8,8
4.09322,70.7487,3.51029,54.1226,1.02008,0.306088,0.340471,0.33288,0.378946,0.318584,0.194137,1,9,9
4.29017,67.3639,3.80106,53.5788,0.976155,0.307217,0.340849,0.395523,0.312708,0.232175,0.19496,1,10,10
4.12083,64.45,4.07321,52.6145,0.974102,0.295772,0.393662,0.382465,0.30317,0.253692,0.200497,1,11,11
3.97734,68.2638,3.59756,56.5703,0.973799,0.299376,0.334798,0.443384,0.242069,0.339267,0.195421,1,12,12
4.15071,65.8773,4.46828,59.1517,0.896001,0.299436,0.388737,0.526361,0.331222,0.221955,0.195732,1,13,13
4.06154,65.064,4.22619,60.0034,0.94432,0.306124,0.342196,0.659362,0.388916,0.317063,0.198758,1,14,14
3.99648,71.0838,3.87958,55.3498,1.02711,0.332518,0.361373,0.50093,0.357663,0.211172,0.194649,1,15,15
3.94056,71.0696,3.74927,54.9586,0.991112,0.317684,0.324411,0.443521,0.392647,0.202229,0.192192,1,16,16
3.97946,72.8158,3.23843,54.0608,0.982602,0.297395,0.39202,0.395754,0.378244,0.226672,0.197706,1,17,17
4.06345,73.8085,3.13144,51.874,1.02105,0.28381,0.374605,0.416155,0.409752,0.214621,0.192209,1,18,18
4.07162,71.2146,4.09787,56.8624,0.932876,0.30143,0.269162,0.498079,0.39295,0.197518,0.197084,1,19,19
4.08337,67.3262,3.6833,51.5852,0.998706,0.323858,0.395577,0.56142,0.291281,0.196441,0.199652,1,20,20
3.95742,70.9062,3.85408,57.531,0.954594,0.315653,0.338873,0.630934,0.333533,0.169326,0.189328,1,21,21
