TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma,.chain,.iteration,.draw
3.85262,71.2533,3.8976,50.1175,1.03763,0.312344,0.355149,0.0301786,0.304939,0.300321,0.197996,1,1,1
3.80351,71.5022,3.26892,45.651,1.11033,0.303814,0.348308,0.100199,0.327029,0.281242,0.197088,1,2,2
3.79584,73.3176,3.30946,46.0226,1.0946,0.317136,0.325564,0.126652,0.375412,0.231964,0.200061,1,3,3
3.85441,72.6097,3.5831,45.4701,1.09813,0.316777,0.316809,0.110165,0.359214,0.228854,0.199475,1,4,4
3.86708,72.5264,3.75,48.0283,1.08056,0.318206,0.306636,0.109748,0.380146,0.238509,0.198799,1,5,5
3.83638,71.1218,3.78629,48.0364,1.04027,0.319547,0.326927,0.133989,0.381627,0.267866,0.197925,1,6,6
3.86571,75.9618,2.6012,46.5269,1.1383,0.311014,0.348618,0.130581,0.329667,0.315232,0.199796,1,7,7
3.9285,76.7983,3.73592,42.5365,1.11092,0.275553,0.355859,0.0903636,0.395867,0.31209,0.195935,1,8,8
3.92613,71.4923,3.87397,46.2598,1.08716,0.284733,0.368973,0.04707,0.344792,0.283384,0.201066,1,9,9
3.89827,73.9997,3.5369,49.5304,1.11213,0.281147,0.305863,0.090806,0.354252,0.30472900000000003,0.19619,1,10,10
3.90035,74.8574,3.74926,49.8889,1.13123,0.286172,0.370665,0.0421286,0.324676,0.240252,0.202295,1,11,11
3.95584,78.0301,3.98507,49.5347,1.15137,0.282609,0.37262,0.0448274,0.324882,0.283702,0.200119,1,12,12
3.92615,78.2203,3.9808500000000002,46.641,1.10209,0.291879,0.327103,0.0254693,0.269119,0.25798,0.199214,1,13,13
3.96514,73.9518,3.72314,49.4485,1.07592,0.28537,0.350719,0.0393048,0.312158,0.281055,0.19885,1,14,14
3.96028,73.6679,3.85274,47.3696,1.08869,0.283901,0.350799,0.0537897,0.320399,0.286432,0.196837,1,15,15
3.9491,73.3032,3.56244,49.4333,1.07854,0.290693,0.34321,0.144507,0.340493,0.240296,0.200785,1,16,16
