TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma,.chain,.iteration,.draw
4.00115,71.1253,3.98476,54.5134,0.965703,0.293446,0.34216800000000003,0.414757,0.380427,0.29002,0.196043,1,1,1
4.05147,69.3244,4.17699,53.4911,0.970136,0.312719,0.322646,0.410334,0.341786,0.300255,0.19358,1,2,2
4.04282,69.4301,4.53835,53.0949,1.01976,0.298947,0.295701,0.391548,0.339251,0.292484,0.195552,1,3,3
4.00544,69.0509,3.56124,53.51,0.962302,0.326884,0.38281,0.452654,0.304142,0.215035,0.197664,1,4,4
4.06827,71.0746,3.85381,56.2667,0.993133,0.329511,0.345853,0.454006,0.343888,0.213631,0.194237,1,5,5
3.93335,71.0408,3.6481,58.7968,1.01208,0.325059,0.36399,0.418538,0.298759,0.25451,0.192028,1,6,6
3.86263,66.7381,3.88741,59.7546,0.997323,0.339188,0.399075,0.464318,0.287751,0.247398,0.192025,1,7,7
3.90662,66.7332,3.91298,58.6757,0.969013,0.336144,0.389656,0.449569,0.313788,0.248918,0.193519,1,8,8
3.9104,67.1825,3.94509,53.3401,0.939873,0.32017,0.391809,0.432839,0.285219,0.295292,0.197095,1,9,9
4.00341,64.9232,3.65779,50.1992,0.95894,0.30369,0.403233,0.430334,0.300817,0.309477,0.193879,1,10,10
4.06286,65.4792,3.93725,51.9894,0.987653,0.301318,0.315679,0.473467,0.301207,0.263577,0.190047,1,11,11
4.19147,65.3624,4.00291,51.7496,0.919117,0.299275,0.419271,0.502088,0.303145,0.23022,0.19597,1,12,12
4.25055,68.702,3.94123,52.6338,0.977763,0.296327,0.369328,0.431809,0.278885,0.280263,0.188516,1,13,13
4.05935,69.6152,3.79623,53.7865,0.991428,0.308094,0.357534,0.398177,0.39523,0.264403,0.197429,1,14,14
4.03391,69.5464,3.59974,67.7966,0.998275,0.285559,0.343807,0.541402,0.475343,0.274808,0.191874,1,15,15
4.02664,67.9626,3.56396,62.1001,1.06912,0.284634,0.340836,0.525566,0.466741,0.24858,0.197813,1,16,16
4.02389,70.184,3.42689,62.2277,1.07009,0.290271,0.351135,0.442652,0.485711,0.232135,0.192067,1,17,17
4.07025,75.8406,3.57929,58.9374,1.0345,0.295147,0.3661,0.546161,0.36919,0.268487,0.191981,1,18,18
4.0968,78.2629,3.4133,59.9481,1.06035,0.314326,0.335799,0.5413,0.419283,0.283277,0.193343,1,19,19
4.08415,68.8042,3.46685,54.9041,0.980291,0.300945,0.381455,0.331838,0.420777,0.227394,0.192422,1,20,20
4.03154,68.1231,4.21424,54.0306,1.02275,0.287767,0.337417,0.427429,0.328672,0.341618,0.195186,1,21,21
3.97924,72.3199,3.61534,58.2797,1.00286,0.312433,0.348908,0.418061,0.408402,0.286356,0.190814,1,22,22
3.98728,70.0907,3.97826,57.4301,0.982351,0.299669,0.311215,0.536085,0.366052,0.23734,0.191609,1,23,23
3.97311,70.0214,3.85835,59.5497,0.989194,0.323134,0.293691,0.480274,0.303218,0.264656,0.192046,1,24,24
3.89938,74.6003,3.08511,52.0751,1.0556,0.321746,0.391012,0.553282,0.33189,0.255116,0.196744,1,25,25
3.90824,70.1426,3.28629,62.1617,0.994629,0.31983,0.354456,0.578149,0.471241,0.256256,0.192066,1,26,26
3.97732,74.3372,3.4257,60.0288,1.06923,0.314535,0.327933,0.547137,0.428849,0.216003,0.196739,1,27,27
3.87614,70.1928,3.54535,62.2588,0.962073,0.288063,0.326713,0.523656,0.405056,0.197715,0.188815,1,28,28
3.89807,70.3379,3.93674,54.2291,0.975448,0.278034,0.314686,0.548587,0.3956,0.261088,0.194287,1,29,29
4.03914,69.9841,3.8331,56.3242,0.948868,0.283073,0.351467,0.534936,0.337343,0.289463,0.190948,1,30,30
4.11403,75.7843,3.47469,55.0622,0.96741,0.283282,0.352347,0.442073,0.359632,0.268694,0.196751,1,31,31
4.04304,75.1191,3.30058,54.2025,0.972431,0.310641,0.36542,0.50858,0.341614,0.257124,0.193378,1,32,32
3.98168,73.28,3.92229,51.4488,1.03529,0.303517,0.39904,0.521369,0.28799,0.287831,0.194313,1,33,33
4.10729,70.0923,3.6776,58.1596,0.989291,0.28864,0.34913,0.322917,0.335899,0.267197,0.19563,1,34,34
4.16784,72.841,3.77949,54.2237,1.03577,0.283928,0.331351,0.341437,0.382342,0.258286,0.190508,1,35,35
4.10672,66.8946,3.96968,55.7753,0.923695,0.294332,0.427396,0.322218,0.423878,0.295298,0.200024,1,36,36
4.1891,66.1229,3.62774,50.6216,0.95794,0.291428,0.327396,0.239769,0.310151,0.332193,0.192068,1,37,37
4.17938,68.4305,3.45318,54.6629,0.954588,0.310307,0.345646,0.305382,0.309019,0.329702,0.198789,1,38,38
4.13358,63.739,4.04569,54.4248,0.940731,0.295123,0.419241,0.285775,0.36574,0.332297,0.191212,1,39,39
4.16341,63.78,4.18061,51.2423,0.968249,0.288921,0.377207,0.338444,0.319122,0.319911,0.198059,1,40,40
4.25188,67.7913,3.86721,48.8631,1.05235,0.289515,0.393945,0.276905,0.337957,0.270589,0.190776,1,41,41
4.31933,68.2979,3.85409,51.8435,0.917252,0.316779,0.335347,0.358834,0.309508,0.351253,0.201274,1,42,42
4.33518,72.9053,3.60782,51.4956,1.11182,0.303235,0.350902,0.28796,0.306342,0.32397,0.202177,1,43,43
4.22124,76.4146,3.17232,53.322,1.01974,0.302199,0.372336,0.391974,0.317784,0.184393,0.190431,1,44,44
3.95759,67.4789,4.31397,54.3464,0.989481,0.346788,0.291924,0.277909,0.363241,0.236237,0.189694,1,45,45
4.02719,72.9617,3.25314,55.5783,0.996037,0.352144,0.314328,0.474853,0.310812,0.269606,0.191901,1,46,46
4.12037,68.8069,4.69855,60.8565,0.902477,0.312595,0.251958,0.499793,0.346425,0.309501,0.196506,1,47,47
4.06606,69.4164,3.99814,50.5507,0.929763,0.322383,0.409801,0.398977,0.302759,0.311946,0.191597,1,48,48
4.08788,70.1299,3.97453,51.4318,0.962575,0.325422,0.383788,0.411051,0.312511,0.30793,0.193155,1,49,49
4.13275,71.9399,4.04197,51.5189,1.00216,0.317598,0.371162,0.35889,0.334318,0.299548,0.194319,1,50,50
