TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma,.chain,.iteration,.draw
3.92279,70.5638,3.36287,55.749,0.994965,0.318218,0.318703,0.388464,0.38753,0.18902,0.19773,1,1,1
3.96828,78.3197,3.30494,54.2862,1.10487,0.297922,0.340738,0.404917,0.42892,0.208151,0.203406,1,2,2
3.83217,71.3542,3.44387,58.8493,0.959615,0.325032,0.376581,0.42073,0.306285,0.23304,0.190564,1,3,3
3.9364,72.2576,3.64054,49.1922,1.0872,0.321087,0.340477,0.361575,0.394444,0.256874,0.20044,1,4,4
3.95041,78.9882,3.35787,54.689,0.932781,0.317129,0.35399,0.425055,0.344567,0.261279,0.200163,1,5,5
3.92868,79.0618,3.5063,54.7426,0.988604,0.316353,0.390507,0.46263,0.337262,0.245564,0.198764,1,6,6
4.0232,77.0617,3.40951,52.9508,0.940854,0.31148,0.345341,0.372552,0.389608,0.253835,0.194613,1,7,7
3.90475,77.325,3.49019,52.1967,1.01185,0.303952,0.324948,0.356843,0.394205,0.287333,0.197662,1,8,8
3.85194,76.3783,3.52906,51.6643,0.974115,0.302215,0.334358,0.280153,0.429155,0.293617,0.190284,1,9,9
3.86283,77.0584,3.26457,54.8146,1.01503,0.314332,0.321207,0.340819,0.374991,0.287409,0.192512,1,10,10
4.0747,72.265,4.0766,55.7795,0.971143,0.321074,0.390282,0.348254,0.308076,0.334005,0.195335,1,11,11
3.94276,71.3821,3.80359,52.3551,0.997235,0.304677,0.385586,0.372044,0.424322,0.310384,0.193874,1,12,12
4.05697,74.3582,3.8483,50.8898,1.0459,0.300277,0.35385,0.352373,0.349511,0.296688,0.193399,1,13,13
3.97524,72.5604,3.63743,55.4802,0.99227,0.313133,0.37747000000000003,0.328946,0.382405,0.264612,0.192784,1,14,14
4.07084,74.1916,4.16053,50.0843,1.04446,0.331395,0.366728,0.322216,0.385704,0.291357,0.193941,1,15,15
4.08375,70.1289,3.87576,55.009,0.954787,0.32426,0.365834,0.376935,0.369677,0.275059,0.197428,1,16,16
4.00117,72.5366,3.47927,50.3907,0.993652,0.320823,0.375254,0.322114,0.401247,0.283347,0.194161,1,17,17
3.97114,72.7966,4.05363,53.3789,0.96411,0.313149,0.322036,0.33036,0.305538,0.320511,0.188277,1,18,18
3.9354,72.3295,3.88645,55.4841,0.972941,0.33603,0.33396,0.474035,0.305255,0.333469,0.190533,1,19,19
3.96394,73.4244,3.91756,54.5794,0.95664,0.337018,0.35773,0.435019,0.361916,0.330824,0.19286,1,20,20
3.94876,68.0714,4.11179,51.0013,0.957279,0.30929,0.316717,0.451401,0.391397,0.340029,0.19492,1,21,21
3.88431,66.5204,4.09238,61.9306,0.921761,0.321673,0.351457,0.439954,0.390961,0.29361,0.19619,1,22,22
4.01429,69.9206,3.145,47.9142,1.0336,0.3306,0.356788,0.529054,0.474869,0.328968,0.193128,1,23,23
4.0392,69.3606,3.5113,52.9425,0.983965,0.341111,0.329542,0.537388,0.38511,0.255209,0.198219,1,24,24
4.12709,71.6384,3.82024,55.8724,1.02702,0.307646,0.35408,0.425811,0.337403,0.314582,0.195181,1,25,25
4.07143,72.0018,3.39275,57.719,1.01434,0.335216,0.36642,0.491906,0.29084,0.261065,0.191561,1,26,26
4.16846,71.5221,3.95073,47.3817,0.940083,0.278399,0.324249,0.446733,0.361156,0.312277,0.188335,1,27,27
4.12898,72.2976,3.58908,49.964,1.00373,0.297147,0.327839,0.468898,0.41084,0.334507,0.191214,1,28,28
4.13965,71.5653,3.82866,50.7061,0.976415,0.295257,0.335904,0.538184,0.415521,0.322176,0.192764,1,29,29
4.14146,75.8336,3.42559,64.8903,0.971761,0.31557,0.37379,0.400411,0.360154,0.264723,0.187669,1,30,30
4.26121,74.5531,3.72535,55.6611,1.01917,0.330281,0.345255,0.505621,0.381509,0.227903,0.202005,1,31,31
4.29283,79.4913,3.45543,64.5708,1.09418,0.339543,0.379207,0.447458,0.449323,0.228086,0.198267,1,32,32
4.13293,71.919,3.65937,53.2712,0.977689,0.33389,0.370084,0.498604,0.316201,0.169794,0.192542,1,33,33
4.45088,72.2955,4.04356,60.769,0.988269,0.335537,0.347719,0.626453,0.382832,0.228819,0.186885,1,34,34
4.24005,68.1189,3.79027,55.018,1.009,0.324664,0.354466,0.420925,0.418999,0.200462,0.206624,1,35,35
4.34319,69.7362,3.94733,54.9736,0.956778,0.281318,0.306169,0.475802,0.34158,0.272275,0.188923,1,36,36
4.23728,69.4465,4.23019,50.8102,0.962975,0.298727,0.369522,0.391434,0.274029,0.238516,0.201431,1,37,37
4.06672,67.8266,3.75401,57.5992,0.974576,0.319646,0.422481,0.437602,0.300737,0.202835,0.192564,1,38,38
4.13555,72.0192,3.32454,53.839,1.02332,0.303775,0.438592,0.446236,0.399265,0.237576,0.195276,1,39,39
4.05466,71.6449,3.56792,58.1649,0.973887,0.300436,0.35718,0.416491,0.386705,0.253675,0.198713,1,40,40
4.11749,75.5491,3.59301,57.2419,1.02633,0.3135,0.362646,0.447538,0.324272,0.246671,0.192251,1,41,41
4.02419,71.838,4.07969,57.121,0.972942,0.330346,0.390607,0.433542,0.296184,0.307441,0.200985,1,42,42
4.0867000000000004,73.2609,3.46862,54.6116,0.989958,0.304258,0.329562,0.438624,0.341867,0.215754,0.193185,1,43,43
4.03185,75.4305,3.33218,52.6029,1.03584,0.28268,0.301593,0.301128,0.296808,0.298827,0.19552,1,44,44
3.90942,67.5524,3.45509,58.1003,0.957157,0.304372,0.409043,0.431699,0.323537,0.274078,0.196844,1,45,45
3.99902,76.948,2.93254,50.0843,1.10457,0.28858,0.319693,0.287025,0.354443,0.278506,0.197333,1,46,46
4.10947,66.9677,4.02573,52.5224,0.983246,0.306742,0.371682,0.398919,0.303685,0.305446,0.195974,1,47,47
3.99518,73.432,3.28205,49.0649,1.04209,0.307248,0.305922,0.322479,0.369656,0.19876,0.196207,1,48,48
3.89995,71.422,3.85693,54.3943,1.04731,0.308613,0.351768,0.41089,0.288112,0.211888,0.207197,1,49,49
4.02101,68.86,3.45566,49.2106,0.978934,0.309444,0.318862,0.378307,0.305267,0.24355,0.187266,1,50,50
3.89125,67.1605,3.93147,53.4487,0.965346,0.312808,0.315152,0.387017,0.368128,0.208483,0.203851,1,51,51
3.99005,68.0448,3.94558,51.5652,0.972958,0.307548,0.32289,0.443744,0.372612,0.206305,0.197485,1,52,52
3.96613,67.8051,4.16825,54.8799,1.01641,0.314604,0.297292,0.468816,0.37723,0.20784,0.199319,1,53,53
3.97817,67.3871,4.199,54.7644,1.02847,0.320781,0.316833,0.507909,0.306473,0.171314,0.195407,1,54,54
