TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma,.chain,.iteration,.draw
4.1155,70.1343,3.8455,49.4289,1.10701,0.325783,0.369249,0.154625,0.264904,0.27402,0.199713,1,1,1
4.13332,67.5331,4.13865,54.3416,1.0276,0.32765,0.397392,0.290698,0.305776,0.292587,0.197302,1,2,2
4.09828,68.0084,4.17846,55.0945,1.04886,0.32671,0.375287,0.352625,0.404547,0.297958,0.200298,1,3,3
4.1295,69.8621,3.79926,46.6914,1.04997,0.318498,0.306388,0.169953,0.269109,0.27337,0.196047,1,4,4
4.1968,73.801,3.25216,46.5435,1.13539,0.328025,0.350971,0.260152,0.332534,0.298663,0.197263,1,5,5
4.20357,71.5277,3.91686,49.5753,1.01464,0.325354,0.35178,0.116046,0.307154,0.334866,0.200678,1,6,6
4.13683,77.6138,3.34963,48.218,1.10323,0.309554,0.349208,0.214669,0.258605,0.283446,0.201443,1,7,7
4.25246,77.0809,3.61536,44.8774,1.11199,0.293332,0.330902,0.178886,0.334992,0.280357,0.196131,1,8,8
4.20568,71.8654,3.13861,48.0097,1.08583,0.29756,0.324588,0.181472,0.294485,0.326296,0.19968,1,9,9
4.10409,77.5684,3.64743,46.2826,1.07624,0.291884,0.328847,0.0137014,0.287434,0.280342,0.196627,1,10,10
4.20821,69.8077,3.95276,49.1136,1.0461,0.294019,0.360651,0.0439887,0.259517,0.316682,0.203635,1,11,11
4.22574,68.3013,4.19403,49.482,1.05084,0.320522,0.352994,0.121639,0.284878,0.264047,0.196048,1,12,12
4.22063,71.2822,3.51886,47.576,1.0715,0.315822,0.340515,0.10322,0.322211,0.279258,0.196264,1,13,13
4.17467,70.2528,4.0043,51.198,1.07962,0.305361,0.402473,0.339489,0.233636,0.365787,0.198444,1,14,14
4.15416,73.2526,3.27012,48.9654,1.11757,0.315009,0.333218,0.2952,0.296405,0.308352,0.19541,1,15,15
4.1537,71.3534,3.3751,50.8368,1.12306,0.31555,0.333867,0.204702,0.325119,0.236506,0.201262,1,16,16
4.12256,71.2248,4.3261,47.9317,1.07536,0.326314,0.334487,0.312416,0.279497,0.28528,0.197195,1,17,17
4.09331,72.1527,4.36114,45.5789,0.99924,0.306922,0.382257,0.273017,0.290841,0.295452,0.197744,1,18,18
4.02816,74.9092,3.31058,49.4985,1.14978,0.32135,0.315867,0.0769573,0.390206,0.314217,0.196667,1,19,19
