TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma,.chain,.iteration,.draw
4.2544,71.2195,4.34143,47.4993,1.11023,0.279438,0.325807,0.280441,0.306736,0.278476,0.199427,1,1,1
4.23688,70.9114,3.32125,48.9979,1.08865,0.279092,0.366891,0.29737,0.264461,0.293195,0.197832,1,2,2
4.1474,75.6951,3.9423,45.8033,1.10079,0.272926,0.342902,0.280527,0.336938,0.317086,0.198669,1,3,3
4.09981,71.7659,3.53763,49.7304,1.08401,0.283775,0.345515,0.213838,0.267735,0.282108,0.196641,1,4,4
4.09902,73.307,3.62524,50.8284,1.09448,0.28749,0.3456,0.179736,0.308509,0.305393,0.196127,1,5,5
4.09539,71.7677,4.1044,48.7025,1.08294,0.291045,0.306763,0.196281,0.319649,0.328025,0.202493,1,6,6
4.08381,72.5242,3.91123,49.1874,1.05454,0.290441,0.319361,0.157645,0.324271,0.298361,0.203115,1,7,7
4.0837,75.177,2.98346,48.1702,1.17069,0.302789,0.304421,0.18581,0.259621,0.253042,0.196004,1,8,8
4.06177,76.8232,2.81297,47.7429,1.17388,0.297945,0.287977,0.186898,0.2835,0.274045,0.198237,1,9,9
4.05811,73.9985,3.09814,48.4837,1.16738,0.314177,0.334202,0.195622,0.317849,0.23455,0.199438,1,10,10
4.04304,72.9269,3.18391,50.3499,1.11528,0.304805,0.350147,0.411971,0.34552,0.250916,0.197934,1,11,11
4.2119,77.0297,3.37573,45.8998,1.08025,0.303708,0.338627,0.34738,0.32289,0.265689,0.199484,1,12,12
4.20157,74.0014,3.39367,45.967,1.11579,0.314884,0.346855,0.276676,0.330955,0.184661,0.199243,1,13,13
4.1961,74.1783,3.45225,48.0068,1.14426,0.307799,0.34394,0.218607,0.346907,0.234796,0.19668,1,14,14
4.14942,72.9755,3.44401,47.3798,1.12418,0.290909,0.356632,0.318683,0.335098,0.233677,0.199538,1,15,15
4.13974,71.3308,3.4147,46.5369,1.06839,0.292938,0.368092,0.165108,0.314339,0.226779,0.202304,1,16,16
4.02744,73.8776,3.36837,47.3545,1.15364,0.332281,0.317181,0.092734,0.317239,0.28712,0.20095,1,17,17
4.01294,76.0999,3.47633,46.0983,1.07198,0.310262,0.343923,0.15764,0.32418,0.177477,0.201636,1,18,18
4.0321,75.6843,3.72926,46.8516,1.0786,0.311208,0.36759,0.248726,0.32752,0.178975,0.198052,1,19,19
4.03578,76.3058,3.44172,45.1084,1.11992,0.347594,0.373147,0.235353,0.249516,0.198822,0.20059,1,20,20
4.02615,72.1226,3.84301,47.9993,1.07657,0.354457,0.397579,0.162472,0.314861,0.228937,0.199409,1,21,21
3.99982,72.0096,2.94629,47.1132,1.04442,0.340233,0.3535,0.288262,0.346577,0.188426,0.19552,1,22,22
4.09186,72.0472,3.8123,48.5803,1.04816,0.324087,0.352434,0.263348,0.311858,0.231257,0.201718,1,23,23
4.1347,75.2244,3.94067,51.3563,1.01195,0.332945,0.334088,0.183815,0.310554,0.207799,0.193631,1,24,24
4.14745,75.5002,3.70066,47.9509,1.08517,0.32614,0.326185,0.291125,0.336855,0.216465,0.195759,1,25,25
4.20422,72.3657,3.80207,46.9909,1.05044,0.308984,0.333248,0.196931,0.335166,0.213901,0.20201,1,26,26
