TVCL,TVVC,TVQ,TVVP,TVKA,omega[1],omega[2],omega[3],omega[4],omega[5],sigma,.chain,.iteration,.draw
4.06717,74.1788,3.33803,52.6536,1.00103,0.311253,0.311707,0.310536,0.294112,0.269373,0.197427,1,1,1
4.12507,74.467,4.09761,52.6738,0.993919,0.338175,0.366489,0.398286,0.308348,0.253373,0.20093,1,2,2
4.16409,73.2811,3.39355,51.8524,1.04058,0.327924,0.289565,0.329519,0.345523,0.227259,0.194769,1,3,3
4.12962,70.849,3.8729,50.4732,1.03747,0.3227,0.343802,0.449121,0.305176,0.211146,0.199855,1,4,4
4.18795,67.524,3.72474,50.0465,1.03213,0.315902,0.342051,0.315546,0.292968,0.261479,0.195182,1,5,5
4.03124,62.9051,3.8517,53.818,0.997517,0.323983,0.388441,0.433759,0.375688,0.192456,0.19388,1,6,6
4.18125,68.1334,3.78361,54.7891,1.00056,0.319174,0.41,0.575053,0.27641,0.206872,0.197998,1,7,7
4.28909,63.1096,3.92246,61.0005,0.914936,0.335459,0.400166,0.519413,0.35535,0.144175,0.188933,1,8,8
4.05221,69.7525,3.96988,52.5361,1.02993,0.340587,0.369402,0.443298,0.333252,0.247844,0.189037,1,9,9
4.02277,72.074,3.56143,51.2775,1.06992,0.33722800000000003,0.341384,0.398637,0.309251,0.310676,0.198905,1,10,10
4.03901,70.3412,3.35316,58.2398,1.00073,0.319021,0.327039,0.317619,0.386878,0.316086,0.193263,1,11,11
3.96351,71.1429,3.74491,49.7195,1.05614,0.329482,0.336972,0.411559,0.36913,0.22473,0.196825,1,12,12
3.88164,71.6113,3.18561,58.6148,0.988636,0.331055,0.410563,0.52531,0.371459,0.243544,0.195671,1,13,13
3.90457,72.3561,3.19718,53.682,0.974672,0.331966,0.382788,0.484699,0.370738,0.244729,0.198171,1,14,14
3.97328,70.605,3.56227,56.8723,1.03249,0.296447,0.361614,0.562508,0.300292,0.280649,0.194122,1,15,15
