TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma,.chain,.iteration,.draw
3.91868,69.306,1.03771,0.330171,0.274429,0.33358,0.201152,1,1,1
3.9352,69.3299,0.956538,0.290534,0.27443,0.299783,0.194505,1,2,2
3.75425,69.789,1.01352,0.314164,0.234586,0.314592,0.20274,1,3,3
3.81967,70.6202,0.992337,0.315137,0.262947,0.291558,0.193099,1,4,4
3.94454,71.1706,0.978401,0.295975,0.301918,0.353012,0.196087,1,5,5
3.88648,71.1409,1.03188,0.286996,0.275398,0.315426,0.200824,1,6,6
3.95784,68.595,0.919805,0.340157,0.268206,0.317101,0.203915,1,7,7
4.01276,69.5381,0.956936,0.332711,0.265935,0.364854,0.198644,1,8,8
4.08705,69.2693,0.985996,0.285475,0.264426,0.289832,0.199776,1,9,9
4.00669,69.3883,0.950763,0.30855,0.2732,0.336321,0.199063,1,10,10
4.13923,68.4697,0.999445,0.320219,0.28936,0.272586,0.198341,1,11,11
4.09317,68.2129,1.00809,0.317974,0.289754,0.320419,0.198294,1,12,12
4.21083,66.2563,1.02326,0.324579,0.271886,0.362805,0.198998,1,13,13
4.20776,66.0474,1.02103,0.322251,0.265576,0.32892,0.203486,1,14,14
4.11501,69.8836,0.986263,0.281736,0.277097,0.311468,0.19403,1,15,15
4.08236,68.2377,0.957697,0.27217,0.307938,0.319911,0.20335,1,16,16
4.07006,67.2625,0.986646,0.267239,0.304524,0.300297,0.190726,1,17,17
4.12975,73.4477,1.00418,0.312631,0.243041,0.344344,0.199337,1,18,18
4.1286,73.4291,1.0103,0.296465,0.255586,0.355586,0.202453,1,19,19
3.96671,69.9665,0.989024,0.311792,0.279571,0.287646,0.198444,1,20,20
4.01823,69.9516,1.02532,0.29854,0.281482,0.271526,0.204005,1,21,21
4.02726,70.6898,0.991837,0.291982,0.265966,0.320269,0.19692,1,22,22
3.97875,70.8451,0.982554,0.299066,0.253982,0.312589,0.196558,1,23,23
4.02038,73.7385,1.02151,0.314966,0.266403,0.320237,0.199298,1,24,24
3.94098,71.9829,0.983562,0.310781,0.27450600000000003,0.348671,0.198351,1,25,25
3.98988,73.3787,0.971935,0.302414,0.258721,0.341063,0.197287,1,26,26
3.91241,71.0813,0.931859,0.312616,0.2381,0.358361,0.207935,1,27,27
3.94072,72.1349,0.913691,0.311336,0.245893,0.373801,0.206897,1,28,28
3.94315,72.9845,1.05158,0.307502,0.256022,0.335051,0.19601,1,29,29
4.08196,70.2139,0.922782,0.358993,0.268245,0.265188,0.196642,1,30,30
4.1014,69.2925,0.988249,0.33825,0.246097,0.320908,0.202707,1,31,31
3.93791,71.1943,1.02192,0.294746,0.265902,0.287893,0.194706,1,32,32
3.99761,67.4647,0.967103,0.304796,0.244979,0.309603,0.20216,1,33,33
4.07369,71.9555,1.0122,0.303487,0.263514,0.310997,0.198129,1,34,34
4.0669,71.5613,1.02414,0.328294,0.274318,0.3225,0.20063,1,35,35
4.07794,70.7221,0.97023,0.31175,0.240358,0.329654,0.202346,1,36,36
4.06069,70.662,1.00066,0.308597,0.247161,0.329731,0.197745,1,37,37
4.10013,71.3194,1.01016,0.316414,0.234026,0.309286,0.199043,1,38,38
4.06599,71.1174,1.02695,0.286219,0.238104,0.367162,0.200276,1,39,39
4.06833,70.5315,1.01043,0.283979,0.229997,0.288533,0.197398,1,40,40
4.07558,72.7909,0.978273,0.265674,0.282809,0.29142,0.199688,1,41,41
3.99114,71.9189,0.98875,0.282282,0.246337,0.284763,0.195008,1,42,42
3.98211,70.2173,0.977643,0.2924,0.288269,0.302058,0.202592,1,43,43
3.86459,69.6833,0.993889,0.326093,0.276402,0.299668,0.197797,1,44,44
3.9566,69.3563,1.03235,0.319065,0.24536,0.32483,0.196004,1,45,45
4.07517,70.4688,0.920564,0.290945,0.256157,0.340256,0.202201,1,46,46
3.87979,67.4715,1.05013,0.296289,0.291831,0.332822,0.196928,1,47,47
4.04629,70.5417,0.973467,0.292311,0.231177,0.322322,0.194527,1,48,48
3.9908,70.2846,0.994663,0.308117,0.26846,0.327146,0.196315,1,49,49
4.04321,69.7467,1.00158,0.323092,0.270098,0.32787,0.202989,1,50,50
4.05496,69.186,1.00717,0.315185,0.266174,0.345854,0.202616,1,51,51
4.11709,68.1464,1.02207,0.341917,0.247969,0.359451,0.197957,1,52,52
4.08812,68.9311,1.03473,0.309764,0.25846,0.32306,0.201094,1,53,53
4.04897,69.3397,0.993974,0.303788,0.289071,0.268456,0.201137,1,54,54
4.04799,69.6761,1.07711,0.308206,0.280133,0.29302,0.191656,1,55,55
3.92079,67.3873,0.958377,0.311263,0.311951,0.255854,0.192493,1,56,56
4.07529,68.7093,1.07695,0.307459,0.278259,0.297617,0.204893,1,57,57
4.03158,68.2353,1.01924,0.31223,0.300919,0.312307,0.198873,1,58,58
4.04519,68.4225,0.978267,0.334065,0.305365,0.30095,0.202247,1,59,59
4.15925,71.7579,0.976289,0.329466,0.241036,0.329168,0.195562,1,60,60
4.1794,72.8641,0.966054,0.340889,0.250034,0.322406,0.197097,1,61,61
3.99396,69.334,0.977997,0.304599,0.293812,0.325185,0.198833,1,62,62
4.06594,70.1073,0.980669,0.342919,0.258807,0.284798,0.201703,1,63,63
4.16517,71.1411,1.05596,0.346553,0.281766,0.296481,0.200856,1,64,64
4.2383,68.6296,0.976964,0.3434,0.260025,0.319602,0.202822,1,65,65
4.23437,69.5693,1.00302,0.341506,0.268867,0.319069,0.201209,1,66,66
4.17838,68.0992,0.982603,0.323958,0.270818,0.330594,0.200323,1,67,67
4.11374,70.1796,0.99372,0.273693,0.288465,0.30183,0.194846,1,68,68
4.09777,68.5412,1.06197,0.275574,0.239437,0.321861,0.205777,1,69,69
4.19571,68.148,0.99204,0.276088,0.244674,0.320628,0.195767,1,70,70
4.1004,66.6958,0.985864,0.26691,0.24309,0.274766,0.198369,1,71,71
4.11882,68.8875,1.02389,0.299284,0.245657,0.33642,0.196012,1,72,72
4.11216,67.0081,0.971127,0.290411,0.249692,0.329416,0.197256,1,73,73
4.16746,69.6321,1.04187,0.319165,0.25006,0.38687,0.197872,1,74,74
4.0994,69.2763,0.98841,0.315783,0.272191,0.332289,0.20186,1,75,75
4.12919,69.1036,1.00094,0.319993,0.267599,0.327401,0.202528,1,76,76
4.16406,69.9716,1.00042,0.325608,0.255265,0.32266,0.201432,1,77,77
4.11691,70.2439,0.981987,0.304456,0.292854,0.251771,0.194444,1,78,78
4.22851,71.3734,0.963266,0.316457,0.266189,0.320777,0.20523,1,79,79
4.1616,71.5835,1.02154,0.293877,0.263406,0.325187,0.194697,1,80,80
4.19087,72.4336,1.01491,0.304083,0.27567,0.312397,0.202533,1,81,81
4.1236,70.3644,1.05961,0.331909,0.266159,0.326826,0.195622,1,82,82
4.11665,70.8775,1.0209,0.324972,0.236901,0.291886,0.20362,1,83,83
4.08844,70.6708,1.09481,0.313498,0.241527,0.378233,0.197208,1,84,84
4.16044,70.6492,1.06715,0.302833,0.269721,0.366202,0.199968,1,85,85
4.1636,70.3983,1.02686,0.291479,0.264452,0.303233,0.198976,1,86,86
4.09984,69.3537,1.06356,0.289082,0.306983,0.310574,0.20068,1,87,87
4.08368,68.3176,1.06492,0.28931,0.286488,0.30631,0.202084,1,88,88
4.0854799999999996,68.8471,1.05009,0.283426,0.296594,0.296013,0.20193,1,89,89
4.14259,68.6826,1.04897,0.293367,0.297348,0.33187,0.199084,1,90,90
4.11296,69.3848,0.996328,0.286495,0.263495,0.364838,0.198968,1,91,91
4.0912,69.1753,1.0636,0.308237,0.269488,0.310676,0.196403,1,92,92
4.05171,67.7784,1.0003,0.286209,0.245767,0.318417,0.200492,1,93,93
4.18617,70.015,1.00511,0.266631,0.238389,0.330158,0.201832,1,94,94
4.01074,70.9833,0.970046,0.265036,0.259218,0.284932,0.202173,1,95,95
4.10515,69.6129,1.01962,0.298961,0.258568,0.322555,0.198965,1,96,96
3.99983,69.5703,0.969821,0.256021,0.258325,0.301275,0.202745,1,97,97
4.01294,72.0155,1.01833,0.262349,0.290585,0.320017,0.192547,1,98,98
3.97699,70.3406,0.97795,0.274952,0.271679,0.29161,0.197893,1,99,99
3.97781,70.801,1.0074,0.267342,0.2674,0.316225,0.202657,1,100,100
4.04197,72.6076,0.961799,0.296896,0.329696,0.287883,0.201674,1,101,101
4.09166,70.1383,0.992448,0.295999,0.253106,0.298111,0.197155,1,102,102
3.98434,68.609,0.961856,0.293641,0.272401,0.321275,0.204551,1,103,103
3.9808500000000002,71.9647,1.04231,0.283436,0.264383,0.34119,0.195941,1,104,104
3.98201,71.0924,1.04333,0.296263,0.263312,0.399006,0.200082,1,105,105
3.96595,71.1684,1.00902,0.289741,0.275435,0.302141,0.201539,1,106,106
3.9962,71.1709,0.984144,0.283626,0.264169,0.322862,0.200992,1,107,107
4.0062,72.3477,0.985224,0.313378,0.274544,0.333733,0.203921,1,108,108
4.1158,69.1561,1.02635,0.285221,0.262003,0.307379,0.198581,1,109,109
4.07055,67.8199,0.982395,0.289849,0.273283,0.259059,0.197653,1,110,110
4.0766,69.5443,1.00376,0.274169,0.28971,0.330766,0.198819,1,111,111
4.00344,69.53,0.950451,0.292258,0.284972,0.278855,0.198007,1,112,112
4.00125,69.5305,0.985086,0.292734,0.295636,0.299966,0.198239,1,113,113
4.12789,70.932,1.03777,0.306927,0.267363,0.346327,0.196953,1,114,114
4.13001,71.2472,1.04854,0.310058,0.268033,0.348592,0.198709,1,115,115
4.07082,69.2792,1.01314,0.304866,0.264514,0.307065,0.202141,1,116,116
4.17612,69.4437,0.966771,0.285443,0.238549,0.320757,0.193881,1,117,117
4.09695,66.1216,0.970638,0.270821,0.256928,0.318339,0.201486,1,118,118
4.06424,66.2193,0.979967,0.274622,0.244216,0.318232,0.197789,1,119,119
4.09937,68.2423,1.00641,0.290969,0.248111,0.369568,0.196924,1,120,120
4.042,67.9454,1.01842,0.279825,0.299236,0.319272,0.20226,1,121,121
4.01272,68.1297,0.987775,0.284949,0.282205,0.287,0.190492,1,122,122
4.00249,68.2544,1.0075,0.276788,0.273949,0.283717,0.192531,1,123,123
4.00737,68.4467,1.00623,0.277788,0.272366,0.282412,0.192522,1,124,124
3.95267,68.8652,0.970876,0.287763,0.266971,0.273135,0.200598,1,125,125
3.97899,68.6362,0.946219,0.304755,0.275981,0.295954,0.200498,1,126,126
4.00484,68.8405,0.953834,0.298396,0.293536,0.3222,0.202343,1,127,127
4.02306,68.9359,0.976635,0.287941,0.307679,0.287686,0.198989,1,128,128
4.0728,69.2199,0.987567,0.284751,0.253513,0.324326,0.203498,1,129,129
4.10364,68.8591,0.99312,0.292688,0.262468,0.309677,0.198647,1,130,130
4.10865,70.7264,1.00658,0.292744,0.267461,0.309052,0.197348,1,131,131
4.02561,70.0842,1.00579,0.277956,0.279348,0.264649,0.199462,1,132,132
4.08856,72.3746,1.05507,0.286141,0.285371,0.293107,0.201725,1,133,133
4.03815,70.1841,0.984125,0.325799,0.266626,0.302774,0.198859,1,134,134
3.99242,66.9765,1.00803,0.304328,0.25105,0.33039,0.195512,1,135,135
3.96723,68.1086,0.978841,0.317963,0.252743,0.343473,0.200522,1,136,136
3.90362,67.4075,0.959041,0.278424,0.302374,0.283461,0.19482,1,137,137
3.98248,68.2751,0.990559,0.268635,0.281937,0.319625,0.197388,1,138,138
3.96234,68.3732,1.02759,0.272273,0.268551,0.323002,0.196055,1,139,139
3.96015,67.7186,1.01995,0.262261,0.257456,0.311573,0.195552,1,140,140
3.96943,67.36,1.03499,0.283599,0.265114,0.346133,0.198576,1,141,141
3.83842,66.4372,0.987935,0.28422,0.259095,0.317825,0.200256,1,142,142
4.02325,69.8779,0.992566,0.29082,0.285237,0.27477,0.202416,1,143,143
4.06941,67.2652,1.01134,0.323003,0.244505,0.304423,0.193796,1,144,144
3.86142,68.6619,1.01788,0.324793,0.279578,0.30371,0.196152,1,145,145
3.80937,70.6518,1.01684,0.308683,0.277961,0.364421,0.200954,1,146,146
3.77911,71.4127,0.98012,0.303902,0.26928,0.328575,0.197849,1,147,147
3.82572,70.7698,0.955437,0.317944,0.28805,0.317891,0.202435,1,148,148
