TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma,.chain,.iteration,.draw
3.99374,69.7432,0.958983,0.28609,0.283875,0.407299,0.195305,1,1,1
4.03578,70.3578,1.01451,0.288093,0.273492,0.375599,0.202146,1,2,2
4.03043,69.9499,0.986177,0.287943,0.271748,0.321194,0.197301,1,3,3
3.98041,66.6588,1.01111,0.268738,0.264505,0.303806,0.197694,1,4,4
3.93303,66.7415,1.00694,0.269557,0.261096,0.274673,0.202518,1,5,5
3.9761,66.9638,0.99122,0.275465,0.252113,0.327618,0.199209,1,6,6
3.89049,65.7422,0.997083,0.256973,0.294177,0.275257,0.202714,1,7,7
3.92033,70.3723,0.953596,0.272387,0.314456,0.350602,0.199253,1,8,8
3.89828,69.637200000000007,0.998259,0.264353,0.273229,0.34049,0.200175,1,9,9
3.86067,69.997,0.954175,0.239262,0.279084,0.291573,0.197553,1,10,10
3.87745,69.9699,1.00483,0.249677,0.266117,0.323174,0.198917,1,11,11
3.89306,69.9375,0.943257,0.240695,0.261633,0.259725,0.20106,1,12,12
3.92573,70.1104,0.959801,0.250476,0.26834,0.318259,0.197073,1,13,13
3.9377,70.3989,0.996707,0.273278,0.277408,0.314197,0.196684,1,14,14
4.09186,70.762,0.972221,0.294975,0.285587,0.328957,0.196724,1,15,15
4.0113,70.2356,0.97855,0.297194,0.291585,0.305899,0.201834,1,16,16
4.1234,69.3291,0.980655,0.291614,0.284678,0.345947,0.195927,1,17,17
4.01788,69.7882,1.01454,0.30383,0.278995,0.291847,0.198657,1,18,18
4.03246,69.9759,1.01377,0.311978,0.281728,0.275123,0.199673,1,19,19
4.03214,69.9205,0.969271,0.299996,0.272402,0.275862,0.198432,1,20,20
4.00685,69.0586,0.968241,0.2948,0.268199,0.385809,0.200364,1,21,21
3.98067,68.1025,0.938012,0.297682,0.30793,0.321115,0.198529,1,22,22
4.07325,67.2656,0.977016,0.300595,0.298321,0.317319,0.200564,1,23,23
4.05389,66.7725,0.962762,0.298219,0.275729,0.315096,0.203057,1,24,24
4.10085,68.0549,0.918219,0.295221,0.264062,0.338468,0.198513,1,25,25
4.09506,67.9923,0.98672,0.303589,0.275412,0.334308,0.199231,1,26,26
4.02296,67.0642,0.976431,0.277767,0.306941,0.306607,0.197749,1,27,27
3.91592,69.4244,1.00975,0.296715,0.254552,0.306385,0.199004,1,28,28
3.91646,68.4962,0.994675,0.296697,0.261872,0.320965,0.198617,1,29,29
3.89708,68.0404,0.952943,0.313948,0.26258,0.2867,0.202554,1,30,30
3.89883,70.0351,0.977002,0.297936,0.283,0.301177,0.197146,1,31,31
3.8567,68.5855,0.942826,0.301192,0.269392,0.332407,0.201986,1,32,32
3.88788,69.025,0.99144,0.312165,0.273961,0.323855,0.200652,1,33,33
3.90384,69.1972,0.965841,0.302488,0.277692,0.317704,0.200166,1,34,34
3.90454,69.3903,1.00106,0.312026,0.29065,0.312149,0.202148,1,35,35
3.8939,68.5323,1.006,0.306209,0.287225,0.281249,0.196636,1,36,36
3.92487,70.4531,0.996877,0.291029,0.28376,0.321121,0.19982,1,37,37
3.9365,70.158,0.965148,0.277786,0.314736,0.287558,0.201457,1,38,38
3.89544,68.8418,0.944623,0.289435,0.297826,0.357109,0.197551,1,39,39
3.9034,69.8265,0.9659,0.280859,0.304174,0.301592,0.196495,1,40,40
3.97404,71.0341,1.02307,0.278158,0.270561,0.340577,0.197899,1,41,41
3.97206,72.0733,1.04688,0.270403,0.269837,0.320214,0.20167,1,42,42
3.91224,70.5902,0.902228,0.322927,0.267944,0.35796,0.202439,1,43,43
4.01233,69.6573,1.01501,0.304482,0.272447,0.345204,0.196205,1,44,44
3.96138,70.1867,0.959945,0.299287,0.25747,0.371936,0.20322,1,45,45
3.94837,70.1998,0.933046,0.310475,0.264539,0.283044,0.196919,1,46,46
3.97357,70.7845,0.962117,0.285767,0.251649,0.330706,0.199232,1,47,47
3.95982,71.8796,1.01251,0.278219,0.280051,0.278625,0.200039,1,48,48
3.99589,69.5723,0.980881,0.261851,0.311968,0.357257,0.20017,1,49,49
4.03697,69.5311,1.04403,0.269594,0.285258,0.366589,0.197859,1,50,50
4.02279,70.069,0.987857,0.278777,0.271507,0.324969,0.200266,1,51,51
