TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma,.chain,.iteration,.draw
4.06993,67.8549,0.981059,0.329697,0.269707,0.29887,0.19708,1,1,1
4.03279,72.6991,1.01408,0.32017,0.269101,0.310206,0.199439,1,2,2
4.03925,71.1608,1.04384,0.307927,0.263976,0.293492,0.203077,1,3,3
4.05872,70.3901,1.04384,0.298073,0.293921,0.291118,0.193764,1,4,4
4.05855,69.2391,0.989151,0.299049,0.256256,0.381358,0.203147,1,5,5
3.92448,70.2504,1.05424,0.340843,0.228246,0.326417,0.192634,1,6,6
3.91333,70.1168,1.0581,0.330869,0.238128,0.354223,0.191758,1,7,7
3.94453,69.42,1.08658,0.31167,0.24959,0.330846,0.203402,1,8,8
3.99234,70.6376,1.00285,0.36585,0.242043,0.31236,0.199159,1,9,9
4.00451,70.7607,0.994823,0.361456,0.261392,0.340523,0.19888,1,10,10
3.91279,68.6004,1.00372,0.382042,0.288969,0.307699,0.193283,1,11,11
3.97694,70.0549,1.01038,0.293919,0.27881,0.325633,0.196038,1,12,12
3.98603,71.7991,0.936182,0.285293,0.244398,0.379004,0.200255,1,13,13
4.12871,72.9556,1.03621,0.30344,0.249871,0.346343,0.197471,1,14,14
4.09199,71.1804,0.968571,0.287394,0.23651,0.313813,0.192719,1,15,15
3.99338,70.0506,1.00769,0.287771,0.286867,0.316677,0.205104,1,16,16
4.12553,71.9291,1.00743,0.284769,0.25532,0.32913,0.201253,1,17,17
4.1851,71.9036,1.02091,0.313305,0.263604,0.299383,0.200874,1,18,18
4.14955,70.6019,0.961579,0.298274,0.269282,0.295471,0.197406,1,19,19
3.96232,69.491,1.0109,0.323087,0.29165,0.322972,0.199611,1,20,20
3.97028,69.688,0.987894,0.281013,0.238136,0.302411,0.197252,1,21,21
4.05376,71.3965,1.0113,0.289717,0.273816,0.298042,0.194371,1,22,22
3.91057,68.2259,1.02798,0.272487,0.269722,0.308271,0.200092,1,23,23
3.8874,66.1872,1.03257,0.301359,0.25392,0.353658,0.199565,1,24,24
3.9914,69.4625,0.979821,0.306455,0.270584,0.263438,0.196748,1,25,25
3.81467,73.3236,1.02425,0.350803,0.23089199999999999,0.294145,0.2019,1,26,26
3.81326,70.6518,1.03123,0.303941,0.248336,0.302576,0.197797,1,27,27
3.789,70.0908,1.03341,0.292409,0.242235,0.31335,0.201118,1,28,28
3.86799,75.3635,1.02999,0.272157,0.255401,0.327216,0.201274,1,29,29
3.80312,73.9103,0.997434,0.23989,0.254264,0.363564,0.195778,1,30,30
3.84412,73.0125,0.978023,0.246403,0.242108,0.297062,0.197577,1,31,31
3.8757,69.8173,1.02868,0.284551,0.249614,0.315403,0.201538,1,32,32
3.87594,67.9314,0.977738,0.274894,0.270019,0.32956,0.198152,1,33,33
3.89619,67.7672,0.990984,0.277734,0.301863,0.424007,0.201825,1,34,34
4.07469,70.246,1.02588,0.300139,0.263303,0.329896,0.197784,1,35,35
4.03007,69.4367,1.03978,0.31096,0.309996,0.390076,0.198235,1,36,36
4.10382,69.9756,1.01297,0.291649,0.247781,0.300126,0.199512,1,37,37
4.08961,69.6323,1.02001,0.283537,0.27337,0.308339,0.20172,1,38,38
3.97403,70.5207,1.00749,0.284726,0.259435,0.29987,0.198705,1,39,39
3.91759,69.6571,1.03096,0.307644,0.250087,0.322172,0.200921,1,40,40
3.93193,70.1285,0.979944,0.308008,0.2488,0.331053,0.199315,1,41,41
3.9407,69.206,0.994377,0.333418,0.252561,0.366982,0.199781,1,42,42
3.99543,68.505,1.00032,0.302113,0.259662,0.303357,0.199632,1,43,43
3.96479,69.5131,0.970001,0.285906,0.234503,0.31814,0.195731,1,44,44
4.02335,67.1645,1.00806,0.300132,0.255654,0.312834,0.204071,1,45,45
4.03715,66.9655,0.963919,0.33282,0.263444,0.277235,0.198162,1,46,46
4.01515,66.584,0.969227,0.323988,0.261289,0.291898,0.200559,1,47,47
3.97699,72.0639,0.948305,0.283925,0.295029,0.377858,0.200192,1,48,48
3.83623,69.4985,0.987365,0.302077,0.317648,0.333479,0.197704,1,49,49
3.87848,69.0457,1.00368,0.304922,0.283718,0.324322,0.194661,1,50,50
3.91149,71.7383,0.994175,0.275011,0.277455,0.325317,0.201522,1,51,51
3.91496,72.3122,1.00716,0.277565,0.276044,0.330965,0.204057,1,52,52
4.00252,71.5614,0.998186,0.281752,0.237567,0.328013,0.193545,1,53,53
3.93931,70.5793,1.00075,0.279578,0.238729,0.283563,0.199828,1,54,54
4.00151,71.8685,1.03097,0.272647,0.288414,0.310268,0.205856,1,55,55
3.99431,68.5455,1.03337,0.266024,0.256679,0.320149,0.19444,1,56,56
3.8873,69.2583,1.00165,0.277485,0.254511,0.353611,0.202454,1,57,57
3.89255,69.8312,1.01698,0.298043,0.260242,0.324913,0.19031,1,58,58
3.89286,69.8841,1.05555,0.297227,0.249717,0.320124,0.203362,1,59,59
3.95096,68.7152,1.03358,0.328873,0.23372,0.309685,0.194092,1,60,60
3.92268,68.6624,1.00825,0.319142,0.259483,0.36238,0.200507,1,61,61
4.00148,70.3902,0.972282,0.31966,0.265869,0.342454,0.195386,1,62,62
3.99069,69.6045,0.994833,0.305806,0.259519,0.276126,0.197783,1,63,63
4.07968,69.3024,0.992275,0.297415,0.275444,0.320126,0.195837,1,64,64
3.94511,69.2984,1.01214,0.307516,0.265038,0.348252,0.196071,1,65,65
3.9402,69.0273,0.954806,0.286143,0.260664,0.276744,0.198202,1,66,66
4.05514,71.1986,0.960584,0.30784,0.263452,0.294009,0.195144,1,67,67
3.98264,68.9812,0.926661,0.305378,0.249508,0.35036,0.193716,1,68,68
3.9931,67.8055,0.969275,0.301695,0.308099,0.292436,0.20345,1,69,69
3.99466,69.516,0.993266,0.313932,0.298917,0.352636,0.197527,1,70,70
3.86387,68.4891,0.982936,0.31821,0.237814,0.383181,0.199225,1,71,71
4.02005,68.156,0.941437,0.277508,0.259813,0.376062,0.20195,1,72,72
4.02595,67.7352,0.994703,0.292869,0.282483,0.334136,0.193637,1,73,73
4.03747,67.7764,1.01052,0.274282,0.306607,0.34757,0.201407,1,74,74
4.03457,68.3657,1.00251,0.30865,0.259511,0.340361,0.195939,1,75,75
4.05701,69.7486,0.994116,0.314027,0.265983,0.34194,0.19625,1,76,76
3.89263,71.6032,0.948999,0.295116,0.251793,0.321246,0.200877,1,77,77
3.86041,69.4864,1.05882,0.312338,0.275688,0.32927,0.202574,1,78,78
3.83255,69.0938,0.997098,0.313554,0.260165,0.320166,0.198023,1,79,79
3.85857,69.778,1.0207,0.321818,0.276453,0.323147,0.198518,1,80,80
3.8143,68.5572,0.964532,0.316343,0.282696,0.32133,0.199122,1,81,81
