TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma,.chain,.iteration,.draw
3.90069,70.2065,0.966564,0.299719,0.266466,0.287039,0.196127,1,1,1
4.01042,71.6825,1.02015,0.282446,0.276926,0.305605,0.196356,1,2,2
4.06268,73.3714,0.981642,0.278706,0.306713,0.308586,0.201587,1,3,3
3.95541,70.4349,1.0304,0.353847,0.266816,0.326542,0.204083,1,4,4
3.99248,71.4476,1.0626,0.354757,0.297621,0.34327,0.192137,1,5,5
3.97883,72.7386,1.07097,0.278222,0.306491,0.338281,0.201916,1,6,6
3.90983,72.8331,1.01474,0.305511,0.297279,0.367981,0.196016,1,7,7
4.06418,69.9652,1.00612,0.297572,0.278794,0.299771,0.19783,1,8,8
4.04452,69.1014,1.01166,0.299668,0.288813,0.269109,0.193562,1,9,9
4.09733,68.955,0.991052,0.310756,0.276637,0.267135,0.195219,1,10,10
3.85575,70.4212,0.958279,0.348236,0.270088,0.346376,0.196036,1,11,11
3.8843,70.3822,0.992259,0.334842,0.302157,0.281068,0.202362,1,12,12
3.9758,70.678,1.03994,0.273678,0.259845,0.331307,0.188885,1,13,13
3.92876,69.7981,1.03613,0.282069,0.253319,0.334685,0.187187,1,14,14
4.09256,71.5681,1.01788,0.315378,0.272677,0.319337,0.203736,1,15,15
4.01988,70.5883,0.984443,0.299109,0.263325,0.336525,0.203794,1,16,16
4.16547,73.691,1.0692,0.290356,0.26166,0.305142,0.201615,1,17,17
4.26512,71.8582,1.00614,0.319949,0.255365,0.327496,0.200467,1,18,18
4.21691,70.6647,1.00493,0.314594,0.26276,0.321905,0.197814,1,19,19
4.16147,70.2877,1.03727,0.270439,0.262413,0.295689,0.200496,1,20,20
4.20855,71.5526,1.03727,0.289187,0.255398,0.288044,0.198317,1,21,21
4.12892,68.0569,1.07124,0.312901,0.258981,0.334016,0.199555,1,22,22
4.07728,70.3183,0.972761,0.274067,0.25476,0.33431,0.203361,1,23,23
4.04856,70.3577,0.960909,0.283953,0.257648,0.349901,0.203552,1,24,24
3.9565,68.815,1.00996,0.275633,0.284336,0.339908,0.196693,1,25,25
4.00805,68.4812,1.00016,0.265781,0.302197,0.304893,0.203785,1,26,26
3.90776,69.344,1.01842,0.267587,0.288822,0.279526,0.195391,1,27,27
4.01139,70.9667,1.01746,0.274963,0.26714,0.333295,0.20056,1,28,28
4.18662,71.7941,1.00963,0.295985,0.300761,0.321962,0.196811,1,29,29
4.21906,70.7427,0.967622,0.316259,0.279854,0.292539,0.206064,1,30,30
4.20788,70.9973,0.955825,0.323318,0.28948,0.339703,0.193102,1,31,31
4.16938,71.5591,0.974927,0.298476,0.261463,0.266255,0.20267,1,32,32
4.18436,70.5545,1.03597,0.291098,0.280571,0.303128,0.195283,1,33,33
4.13392,71.3495,0.960713,0.288782,0.28959,0.273174,0.201023,1,34,34
4.11261,72.1209,0.979688,0.30248,0.287002,0.303616,0.19791,1,35,35
4.19411,68.4346,0.997012,0.270513,0.265518,0.346529,0.198797,1,36,36
4.10871,72.7853,1.04593,0.32255,0.254694,0.296422,0.200585,1,37,37
4.09527,70.9661,1.00078,0.33607,0.256958,0.302047,0.200084,1,38,38
4.03326,71.023,1.01694,0.318965,0.285774,0.332095,0.193591,1,39,39
4.08673,70.2635,0.99523,0.316402,0.279809,0.343368,0.204647,1,40,40
4.1406,67.6831,0.986438,0.298462,0.245386,0.291377,0.200819,1,41,41
4.27343,69.4847,0.971351,0.30053,0.287631,0.324601,0.205971,1,42,42
4.15884,69.3568,1.0576,0.305848,0.265685,0.313311,0.196963,1,43,43
4.10373,69.8876,1.04902,0.269238,0.268968,0.349741,0.197307,1,44,44
4.17369,68.3712,1.03943,0.29684,0.298203,0.330371,0.200009,1,45,45
4.15009,70.0262,0.969752,0.301469,0.271481,0.35698,0.200603,1,46,46
4.15498,69.2134,0.964793,0.310124,0.300962,0.243006,0.202251,1,47,47
4.05219,70.8605,1.01731,0.287833,0.251132,0.356331,0.196989,1,48,48
