TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma,.chain,.iteration,.draw
3.97972,65.5786,0.933185,0.283532,0.34099,0.402443,0.197193,1,1,1
4.04938,68.2604,1.0235,0.265892,0.354015,0.40262,0.201345,1,2,2
4.04126,66.0671,0.968184,0.272529,0.33301,0.363091,0.196596,1,3,3
4.01617,68.0799,0.95904,0.28699,0.348179,0.37539,0.200189,1,4,4
4.06704,66.0413,0.896006,0.283201,0.383989,0.340057,0.198738,1,5,5
4.10376,68.4821,0.986889,0.283445,0.366932,0.37513,0.199878,1,6,6
4.03016,68.1138,0.922326,0.288685,0.338125,0.407406,0.200741,1,7,7
4.02491,68.7996,0.969671,0.296393,0.357088,0.419531,0.202527,1,8,8
3.98251,68.8744,0.998174,0.300562,0.378153,0.411229,0.201083,1,9,9
3.99816,70.3203,1.02648,0.293584,0.363301,0.3915,0.201116,1,10,10
3.94604,70.4329,1.00242,0.29453,0.338637,0.382586,0.19876,1,11,11
3.98986,70.8314,1.04683,0.29215,0.331703,0.378205,0.201512,1,12,12
3.9614,70.6656,1.04656,0.297294,0.355664,0.367065,0.198421,1,13,13
4.00097,70.1692,1.01195,0.279366,0.341532,0.363096,0.202159,1,14,14
4.00661,70.5858,1.0576,0.27077,0.324703,0.375604,0.19628,1,15,15
3.98811,70.4963,1.01272,0.282063,0.313952,0.380121,0.200949,1,16,16
3.93958,72.9492,1.04733,0.28932,0.354352,0.347842,0.201064,1,17,17
3.93534,73.0812,1.00639,0.267947,0.341472,0.364008,0.200051,1,18,18
3.90181,73.7904,1.0093,0.270329,0.338925,0.372385,0.199676,1,19,19
3.88571,72.7457,1.00257,0.26071,0.351081,0.367164,0.199257,1,20,20
3.87429,72.1149,1.01702,0.256986,0.356754,0.419214,0.198803,1,21,21
3.87581,71.2464,1.00444,0.266838,0.359149,0.394886,0.203122,1,22,22
3.9362,72.5023,1.00902,0.267449,0.351595,0.391122,0.20212,1,23,23
3.92439,70.4543,0.995042,0.258946,0.331951,0.384996,0.198104,1,24,24
3.91039,71.6886,1.01722,0.267162,0.362348,0.385801,0.200654,1,25,25
3.85321,70.5345,0.977528,0.271522,0.354348,0.379692,0.198708,1,26,26
3.8961,70.6987,1.04048,0.260948,0.356987,0.41104,0.198673,1,27,27
3.86916,70.6213,1.02601,0.26291,0.378338,0.422232,0.199004,1,28,28
3.87526,70.326,1.02784,0.25769,0.364754,0.384704,0.194691,1,29,29
3.92282,69.0482,1.03343,0.260225,0.365365,0.377014,0.201924,1,30,30
