TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma,.chain,.iteration,.draw
4.09553,72.1517,0.995732,0.268182,0.244806,0.300782,0.197166,1,1,1
4.01166,69.1105,1.02076,0.281999,0.268473,0.32633,0.2049,1,2,2
4.01336,69.911,1.03678,0.29013,0.271697,0.35949,0.194213,1,3,3
3.98113,68.3066,0.997106,0.289875,0.280329,0.343353,0.201419,1,4,4
3.9321,70.2046,0.974974,0.294323,0.271502,0.367316,0.202064,1,5,5
3.93342,69.3283,0.975346,0.29482,0.270285,0.36543,0.201137,1,6,6
3.9655,70.1836,0.958787,0.314641,0.245861,0.311547,0.193001,1,7,7
3.89048,71.2017,0.995739,0.302256,0.285844,0.340673,0.196643,1,8,8
3.83686,69.5796,1.00456,0.301252,0.279966,0.33644,0.201146,1,9,9
3.88161,71.7167,0.978458,0.30333,0.272533,0.302842,0.197899,1,10,10
3.88648,72.4451,0.996106,0.3015,0.288332,0.316665,0.196766,1,11,11
3.9853,72.7029,0.946304,0.304308,0.251781,0.310155,0.191247,1,12,12
3.95218,72.4994,0.957864,0.301653,0.265842,0.305096,0.206381,1,13,13
3.96862,71.6757,0.936355,0.299113,0.27365,0.308505,0.196037,1,14,14
3.97052,69.4968,0.967849,0.288678,0.257835,0.299831,0.203057,1,15,15
3.99232,68.9801,0.964659,0.276815,0.249682,0.304413,0.199143,1,16,16
3.94033,69.0184,1.03757,0.32245,0.268675,0.342056,0.197549,1,17,17
4.0018,69.7854,1.00754,0.283389,0.266614,0.269026,0.194158,1,18,18
3.94605,69.9089,0.978481,0.280022,0.244502,0.295987,0.200736,1,19,19
3.9888,70.8296,0.999074,0.289788,0.289273,0.305779,0.19945,1,20,20
3.9887,71.2033,0.987798,0.273293,0.284407,0.320642,0.197913,1,21,21
3.98782,71.9649,0.965903,0.262635,0.27182,0.28763,0.201264,1,22,22
3.88184,71.3937,0.968332,0.260361,0.251193,0.317715,0.197944,1,23,23
3.89633,71.8356,1.0049,0.294388,0.261521,0.336578,0.200619,1,24,24
3.92256,69.6415,1.03448,0.279728,0.267891,0.284868,0.200426,1,25,25
3.95601,69.2774,1.00241,0.27342,0.275632,0.311878,0.201645,1,26,26
4.20544,68.9315,0.978637,0.311806,0.247569,0.266278,0.205584,1,27,27
4.12078,68.625,0.989929,0.31704,0.254352,0.263234,0.203847,1,28,28
4.2316,70.9586,0.979833,0.280491,0.232131,0.315529,0.198498,1,29,29
4.25734,71.7999,1.01023,0.291888,0.248594,0.310397,0.201432,1,30,30
4.24768,71.4729,0.941993,0.291599,0.250453,0.336706,0.198617,1,31,31
4.05276,65.5325,1.03729,0.34447,0.250978,0.314029,0.194355,1,32,32
4.1157,66.1104,1.03935,0.307791,0.29124100000000003,0.366473,0.197051,1,33,33
4.14516,70.2461,1.01936,0.310761,0.281076,0.286236,0.194949,1,34,34
4.16042,68.9068,1.00441,0.305795,0.278207,0.305612,0.204604,1,35,35
4.16522,70.7474,1.02674,0.294719,0.268298,0.335729,0.195239,1,36,36
4.11129,70.7614,1.01244,0.281162,0.257658,0.302505,0.202359,1,37,37
4.10138,68.4614,0.973786,0.251431,0.260606,0.309078,0.202358,1,38,38
4.05905,68.7445,1.02141,0.309283,0.253417,0.298409,0.204635,1,39,39
4.11324,71.2688,0.994461,0.274564,0.264463,0.294519,0.19954,1,40,40
4.11394,70.9702,1.02329,0.275793,0.257914,0.323347,0.19932,1,41,41
4.04098,70.0564,1.01393,0.258199,0.260091,0.295033,0.201497,1,42,42
4.14995,72.0594,1.07234,0.262155,0.262899,0.311299,0.195797,1,43,43
4.14788,70.48,0.979444,0.27556,0.260026,0.338911,0.204798,1,44,44
4.11311,69.3879,1.00801,0.275225,0.265654,0.294629,0.19633,1,45,45
3.94371,68.8443,1.04022,0.290209,0.27768,0.299791,0.198785,1,46,46
3.99558,67.7098,0.988583,0.282907,0.277063,0.281286,0.195153,1,47,47
3.95334,67.7764,0.992232,0.280828,0.283712,0.272371,0.196672,1,48,48
3.96963,67.6857,0.987481,0.291455,0.298024,0.291079,0.199231,1,49,49
3.9492,68.3737,0.977678,0.292933,0.246328,0.291733,0.203064,1,50,50
3.97121,69.3248,0.965424,0.28525,0.255399,0.327162,0.203463,1,51,51
4.01612,69.4114,0.991908,0.318589,0.246993,0.251848,0.200426,1,52,52
3.91797,69.1777,1.06258,0.287697,0.248309,0.287947,0.200632,1,53,53
3.90691,68.3443,1.00115,0.29843,0.255436,0.289296,0.196063,1,54,54
3.90683,70.9339,1.06233,0.28838,0.302503,0.356946,0.20654,1,55,55
3.88667,70.8196,1.03879,0.292145,0.285798,0.382416,0.207501,1,56,56
3.89563,68.5223,1.05045,0.283656,0.282608,0.368508,0.191061,1,57,57
3.91283,70.3406,1.01747,0.294445,0.241076,0.336443,0.20351,1,58,58
3.8521,69.7204,0.999871,0.29934500000000003,0.251447,0.303591,0.199001,1,59,59
3.91717,69.8792,1.01739,0.283445,0.297861,0.322559,0.197256,1,60,60
3.92498,69.6378,0.932436,0.292527,0.263451,0.335559,0.202635,1,61,61
3.89123,69.0712,1.0199,0.290954,0.238286,0.283464,0.203826,1,62,62
3.95691,66.3053,0.993874,0.289223,0.303272,0.33642,0.197016,1,63,63
4.01462,66.4128,0.985412,0.28711,0.297296,0.312764,0.205563,1,64,64
4.00938,66.2103,0.996668,0.284415,0.300842,0.312516,0.20662,1,65,65
3.9133,70.4822,0.998948,0.276637,0.246777,0.382086,0.201101,1,66,66
3.92763,68.2127,0.964757,0.255364,0.276008,0.274063,0.202623,1,67,67
3.93582,68.1164,0.968671,0.265491,0.286158,0.2979,0.200528,1,68,68
3.95268,68.9151,1.03724,0.305109,0.248535,0.359723,0.198652,1,69,69
4.09445,71.9687,1.01613,0.276129,0.255213,0.295913,0.194732,1,70,70
4.02888,70.4535,0.984283,0.315114,0.269146,0.342192,0.200008,1,71,71
3.92103,68.9469,0.958342,0.319925,0.265451,0.347278,0.199248,1,72,72
3.93241,67.4309,0.979474,0.350343,0.288518,0.321656,0.202909,1,73,73
3.89964,66.168,0.966776,0.346305,0.305376,0.355735,0.19495,1,74,74
3.93776,67.3098,1.01947,0.332147,0.293254,0.377994,0.1926,1,75,75
3.85662,65.2335,1.00424,0.319743,0.289913,0.38152,0.193048,1,76,76
3.86734,66.48,1.02665,0.335621,0.321258,0.390807,0.195733,1,77,77
