TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma,.chain,.iteration,.draw
3.98306,69.7897,0.96425400000000006,0.31377,0.267573,0.309251,0.202512,1,1,1
3.96734,69.2784,0.978261,0.31502,0.258857,0.329659,0.197294,1,2,2
3.91083,68.8981,0.946139,0.315256,0.260675,0.288394,0.201412,1,3,3
3.91637,70.1611,0.989743,0.318494,0.262301,0.283521,0.201322,1,4,4
4.00269,69.6913,1.03312,0.315771,0.297192,0.32523,0.199046,1,5,5
3.97222,69.432,0.984128,0.304855,0.2782,0.284408,0.197089,1,6,6
4.03253,69.3523,1.02734,0.304637,0.297227,0.307684,0.201292,1,7,7
4.05076,71.256,0.937509,0.280865,0.235441,0.337472,0.200313,1,8,8
4.01924,73.754,0.980337,0.285883,0.277819,0.344412,0.199071,1,9,9
4.02677,73.3999,0.947504,0.291718,0.266517,0.330725,0.200954,1,10,10
4.02601,73.4247,0.995765,0.285497,0.268543,0.325253,0.198264,1,11,11
4.07626,70.3578,0.978604,0.266352,0.250868,0.323089,0.198448,1,12,12
4.02695,73.9805,1.02957,0.282456,0.279569,0.371325,0.203228,1,13,13
4.04555,70.298,0.997435,0.266324,0.257456,0.370301,0.195691,1,14,14
4.04925,66.4194,1.01009,0.265833,0.270363,0.276614,0.196676,1,15,15
4.1336,67.8426,0.940345,0.28507,0.298385,0.375214,0.202093,1,16,16
4.07672,70.7614,1.00761,0.283054,0.298656,0.402981,0.199288,1,17,17
3.94305,71.257,0.997077,0.267411,0.284956,0.312014,0.199281,1,18,18
3.86763,68.9867,1.01353,0.278772,0.283568,0.362113,0.202342,1,19,19
3.99741,69.4812,0.952658,0.278072,0.25848,0.328377,0.196811,1,20,20
3.99426,69.2726,0.967257,0.287601,0.268778,0.331913,0.198376,1,21,21
4.01869,68.5011,0.985824,0.276725,0.268285,0.344442,0.20203,1,22,22
4.04367,68.6961,0.99853,0.283037,0.273049,0.358955,0.201933,1,23,23
4.06411,68.8188,0.984661,0.295316,0.273259,0.314603,0.200352,1,24,24
4.03157,70.3729,0.973581,0.308417,0.279554,0.354656,0.198324,1,25,25
4.04723,69.881,1.00154,0.266815,0.269032,0.358568,0.200338,1,26,26
4.04016,70.4645,0.998496,0.276776,0.266166,0.374258,0.19633,1,27,27
4.02529,71.3157,1.01657,0.293566,0.282176,0.322869,0.201266,1,28,28
4.09169,70.3822,1.03829,0.294714,0.275281,0.382856,0.197066,1,29,29
4.24043,68.4823,0.993185,0.289686,0.269908,0.298889,0.201759,1,30,30
4.21311,68.561,0.993721,0.303162,0.272878,0.325863,0.197102,1,31,31
4.09383,64.1456,0.91701,0.297833,0.322516,0.390209,0.199313,1,32,32
4.11785,63.9431,0.973832,0.303589,0.303758,0.307267,0.199977,1,33,33
4.12233,64.7297,0.90997,0.320844,0.274055,0.335058,0.198934,1,34,34
4.17488,64.3884,1.02262,0.31623,0.26715,0.335008,0.199319,1,35,35
4.18352,64.9343,1.02705,0.318846,0.277792,0.325315,0.197693,1,36,36
4.17317,68.4225,0.97544,0.300298,0.293432,0.305382,0.202337,1,37,37
4.12826,69.0157,0.964906,0.307771,0.2911,0.330096,0.198337,1,38,38
4.09321,69.955,0.883619,0.299119,0.265098,0.381268,0.200041,1,39,39
4.10734,70.4795,0.947345,0.310626,0.294395,0.381046,0.199564,1,40,40
4.13539,73.6273,0.99335,0.323919,0.293608,0.316729,0.197918,1,41,41
4.13045,73.1748,0.975361,0.307361,0.322395,0.333765,0.198462,1,42,42
4.01616,71.1206,1.00883,0.310762,0.294335,0.433794,0.198117,1,43,43
4.05376,71.4982,1.02815,0.295221,0.265761,0.391737,0.200827,1,44,44
4.00554,68.5978,0.972381,0.299374,0.292533,0.351269,0.1974,1,45,45
3.94974,67.6349,0.948497,0.324197,0.287603,0.358393,0.201017,1,46,46
3.8993,69.1719,0.960825,0.307251,0.332991,0.398156,0.19662,1,47,47
3.85365,68.1193,0.924245,0.32996,0.308059,0.321181,0.201936,1,48,48
3.91397,70.1689,0.976564,0.296645,0.2988,0.349932,0.198347,1,49,49
3.86437,68.853,1.00505,0.305644,0.252435,0.328298,0.199956,1,50,50
3.86159,69.7794,0.985833,0.298217,0.271052,0.296619,0.198013,1,51,51
3.85592,68.1603,1.00316,0.320581,0.274146,0.324182,0.200586,1,52,52
3.90205,69.3021,1.02008,0.309107,0.249793,0.296013,0.201789,1,53,53
3.89569,70.9926,0.986588,0.297191,0.286786,0.321857,0.196454,1,54,54
3.86795,69.2868,0.936551,0.308978,0.304473,0.278337,0.202534,1,55,55
3.85038,69.8972,0.92532,0.301512,0.301373,0.282078,0.198435,1,56,56
3.79881,71.5222,0.989471,0.330657,0.286608,0.308796,0.201019,1,57,57
3.84585,71.4946,0.954901,0.320845,0.288629,0.303235,0.198755,1,58,58
3.85481,72.4317,1.02111,0.315889,0.296257,0.349286,0.199439,1,59,59
3.85602,73.0237,1.03968,0.306907,0.288234,0.279402,0.199397,1,60,60
3.88519,71.0315,0.946014,0.313657,0.273284,0.391145,0.198355,1,61,61
3.90301,72.0008,0.99614,0.305092,0.280189,0.354824,0.200191,1,62,62
3.91916,69.5137,0.995331,0.311007,0.290148,0.347346,0.198242,1,63,63
3.927,71.0921,1.04222,0.290041,0.278049,0.343923,0.200838,1,64,64
3.93492,70.4843,0.997544,0.286445,0.272651,0.356252,0.2012,1,65,65
3.9283,69.9596,0.971042,0.301544,0.303093,0.350828,0.199346,1,66,66
3.94236,70.6587,1.01247,0.324013,0.267649,0.309827,0.199829,1,67,67
3.89485,65.088,0.908874,0.303715,0.276617,0.323107,0.199266,1,68,68
4.07574,65.4336,0.99529,0.285689,0.294726,0.368993,0.197447,1,69,69
4.02681,67.8138,0.933949,0.312973,0.2809,0.332859,0.200069,1,70,70
4.07986,70.6697,1.00087,0.284478,0.302325,0.329581,0.201511,1,71,71
4.02444,72.6961,0.991114,0.284755,0.301922,0.344391,0.198239,1,72,72
3.9814,72.0583,1.03458,0.282897,0.310947,0.409171,0.20286,1,73,73
4.02936,71.6322,0.958443,0.269402,0.241457,0.32153,0.198669,1,74,74
4.05417,68.7649,0.978343,0.295251,0.290738,0.343973,0.199623,1,75,75
4.21932,68.0359,1.0159,0.306163,0.245416,0.335742,0.200673,1,76,76
4.13786,66.9989,1.01488,0.301557,0.276724,0.309415,0.199013,1,77,77
4.09986,69.5671,1.06005,0.286096,0.251379,0.293845,0.199115,1,78,78
4.12756,69.1802,0.987957,0.313272,0.296103,0.320682,0.200312,1,79,79
4.13199,70.259,0.961165,0.305386,0.268934,0.285889,0.198229,1,80,80
4.159,70.7603,1.01595,0.306012,0.281869,0.32371,0.197764,1,81,81
4.16063,70.7774,1.00736,0.321362,0.256488,0.311592,0.199697,1,82,82
4.02929,74.0407,0.95937,0.286783,0.269544,0.294576,0.20037,1,83,83
4.04001,73.3526,1.00022,0.301435,0.266507,0.309686,0.199927,1,84,84
3.98861,72.1115,1.02331,0.319979,0.253546,0.350112,0.200115,1,85,85
3.93528,74.4882,1.02569,0.299693,0.269073,0.35359,0.199896,1,86,86
4.0484,68.699700000000007,0.993881,0.290439,0.255832,0.345415,0.197367,1,87,87
4.1606,70.7045,1.00716,0.319272,0.269674,0.38329,0.194314,1,88,88
4.16111,68.5986,0.977677,0.316383,0.257347,0.321378,0.203252,1,89,89
4.15322,68.3154,0.943964,0.325531,0.264774,0.257483,0.196949,1,90,90
4.13051,69.159,0.920075,0.298071,0.277684,0.361373,0.199987,1,91,91
4.07967,70.7907,1.00129,0.295663,0.270198,0.286844,0.198842,1,92,92
3.95733,69.437,0.961316,0.297861,0.287968,0.405487,0.198273,1,93,93
3.99565,70.2461,0.973216,0.299742,0.272418,0.334471,0.200212,1,94,94
3.99583,69.3879,0.994434,0.297422,0.276805,0.30657,0.20108,1,95,95
3.98403,68.7626,1.01159,0.296663,0.287516,0.341538,0.1972,1,96,96
3.9013,67.4011,0.948106,0.296211,0.285672,0.311247,0.198146,1,97,97
3.96422,68.8299,0.987575,0.28359,0.276025,0.301507,0.197814,1,98,98
3.91261,69.9228,1.02512,0.30144,0.267025,0.327248,0.201757,1,99,99
3.86635,69.995,0.977507,0.296409,0.284406,0.308327,0.196843,1,100,100
3.91256,68.025,0.996282,0.291342,0.286249,0.40281,0.20255,1,101,101
3.89383,67.9188,1.03385,0.285331,0.291162,0.365101,0.196627,1,102,102
3.90934,69.2012,0.97586,0.278038,0.281159,0.341958,0.201794,1,103,103
3.84971,68.2264,0.950538,0.26939,0.288056,0.372078,0.196435,1,104,104
3.81106,68.4456,0.927546,0.274781,0.289075,0.370865,0.197663,1,105,105
3.84711,68.5302,0.978829,0.295552,0.309892,0.379348,0.202525,1,106,106
3.81522,69.6588,0.981538,0.305439,0.276357,0.346288,0.198106,1,107,107
3.91979,69.1714,0.989351,0.279287,0.275989,0.360073,0.198072,1,108,108
3.85775,68.5836,1.00177,0.291354,0.264502,0.350052,0.199144,1,109,109
3.82015,68.373,1.01394,0.294646,0.318546,0.302045,0.200969,1,110,110
3.89659,69.1841,1.04257,0.293825,0.279434,0.342248,0.197601,1,111,111
3.87677,69.3766,0.970865,0.300187,0.279035,0.327412,0.200751,1,112,112
3.88149,70.3242,0.996643,0.305954,0.279638,0.263793,0.204198,1,113,113
3.87787,69.7581,0.981551,0.300898,0.260275,0.31563600000000003,0.201395,1,114,114
3.86383,71.7558,0.981137,0.309224,0.266424,0.358575,0.200036,1,115,115
3.82327,70.6729,0.975991,0.292554,0.288501,0.35683,0.199123,1,116,116
3.80168,68.5666,0.973642,0.293795,0.272313,0.354334,0.197759,1,117,117
3.81076,69.9815,0.936959,0.297572,0.250848,0.329159,0.200549,1,118,118
3.92385,73.0022,1.0227,0.302928,0.28601,0.302768,0.197569,1,119,119
