TVCL,TVVC,TVKA,omega[1],omega[2],omega[3],sigma,.chain,.iteration,.draw
3.88721,71.4564,0.968381,0.267788,0.253698,0.280271,0.200139,1,1,1
3.83526,71.9088,0.956596,0.255788,0.243733,0.31843,0.200398,1,2,2
3.82742,70.8709,1.09628,0.253958,0.250205,0.322446,0.197986,1,3,3
3.875,68.216,0.938489,0.268669,0.267286,0.333341,0.198654,1,4,4
3.78593,67.5517,1.02718,0.263612,0.325925,0.335007,0.197882,1,5,5
3.79843,68.2513,1.00825,0.277372,0.3188,0.342417,0.196943,1,6,6
3.86255,69.8842,0.914462,0.272177,0.304847,0.339457,0.199613,1,7,7
3.88538,70.0004,0.988573,0.268278,0.297913,0.357754,0.195679,1,8,8
3.87376,71.4368,0.976857,0.291637,0.33053,0.389602,0.198534,1,9,9
3.94019,69.4104,0.965896,0.30095,0.305144,0.303441,0.201123,1,10,10
3.93412,69.0253,0.966224,0.284175,0.302234,0.338854,0.195965,1,11,11
4.01723,71.2263,0.969836,0.288426,0.300459,0.300251,0.202857,1,12,12
4.03437,71.1519,0.988016,0.28446,0.295138,0.348627,0.196876,1,13,13
4.07281,71.4294,0.999508,0.256915,0.282382,0.311156,0.199664,1,14,14
4.08043,70.764,0.955619,0.25879,0.282334,0.343244,0.19851,1,15,15
4.03428,71.7172,0.957502,0.251286,0.262092,0.334644,0.199045,1,16,16
4.00667,72.3589,0.987798,0.257928,0.325043,0.330367,0.199149,1,17,17
4.00554,73.194,1.00909,0.261242,0.321421,0.36406,0.196814,1,18,18
3.88708,70.6038,1.00054,0.265611,0.294844,0.296092,0.202341,1,19,19
3.88003,71.505,0.979084,0.283112,0.297028,0.32061,0.195756,1,20,20
3.95067,72.6722,1.00606,0.282843,0.300093,0.298277,0.204106,1,21,21
3.93036,72.8738,0.986408,0.282656,0.319895,0.354274,0.198835,1,22,22
3.94658,70.5318,0.972691,0.279529,0.299725,0.367198,0.200854,1,23,23
3.89845,69.0576,0.98137,0.276657,0.302199,0.305343,0.198468,1,24,24
3.90312,69.4671,0.983326,0.280161,0.301919,0.281781,0.197541,1,25,25
3.93461,69.4733,1.02156,0.27161,0.301735,0.300935,0.197965,1,26,26
3.87133,68.6364,0.971987,0.284936,0.270346,0.334209,0.197663,1,27,27
3.85077,70.9013,1.03507,0.276658,0.297455,0.300458,0.198804,1,28,28
3.85393,70.7221,1.04643,0.292041,0.292249,0.370218,0.200375,1,29,29
3.8639,68.9323,0.987381,0.305698,0.245201,0.350851,0.196322,1,30,30
4.00345,66.662,0.956466,0.305766,0.282815,0.328802,0.201224,1,31,31
3.93675,65.7936,0.97991,0.278398,0.251046,0.296301,0.197059,1,32,32
3.96745,64.5723,0.977711,0.274467,0.272896,0.335697,0.198619,1,33,33
4.05168,67.7693,0.980482,0.256074,0.303131,0.323359,0.198777,1,34,34
4.03171,66.5471,1.05543,0.266818,0.32896,0.392892,0.20132,1,35,35
4.03877,66.3982,0.962749,0.275292,0.296141,0.352438,0.200966,1,36,36
4.04713,66.732,0.986363,0.288284,0.298676,0.361959,0.19692,1,37,37
4.06795,68.1935,0.977546,0.292391,0.272363,0.363206,0.201463,1,38,38
4.05847,67.9406,0.965873,0.29488,0.28354,0.366099,0.202684,1,39,39
4.10952,67.9634,0.936641,0.295661,0.281708,0.413614,0.199248,1,40,40
4.00253,68.7689,1.00501,0.342279,0.241694,0.261897,0.20207,1,41,41
3.99332,67.1415,0.975855,0.323801,0.237616,0.27708700000000003,0.198852,1,42,42
4.01815,69.4246,0.994364,0.312783,0.265981,0.330613,0.199471,1,43,43
4.00846,69.407,1.05071,0.308566,0.255627,0.340413,0.202493,1,44,44
3.92479,68.1113,1.00882,0.295318,0.275859,0.355738,0.200663,1,45,45
3.9536,69.2001,1.06002,0.279157,0.266496,0.329558,0.200107,1,46,46
4.03111,69.1746,1.02033,0.297534,0.255526,0.373311,0.197265,1,47,47
4.08164,70.7872,1.00808,0.305482,0.274912,0.35692,0.201014,1,48,48
4.11346,71.1324,0.944351,0.295783,0.253732,0.392395,0.196946,1,49,49
4.09081,70.902,0.90711,0.301338,0.287027,0.410758,0.199341,1,50,50
4.10574,70.819,0.973401,0.288737,0.283802,0.346768,0.201004,1,51,51
4.07672,69.2027,1.00027,0.299673,0.327383,0.287466,0.197744,1,52,52
4.08467,68.3416,0.996783,0.292068,0.308391,0.319209,0.201643,1,53,53
4.06714,68.2553,1.01402,0.292803,0.303195,0.308473,0.198348,1,54,54
